"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",1.05,2.52,0.9,0,0.84,0,0.9,-0.04,-2.14,0.40676,NA
"2","0610006L08Rik",0,0,0,0,0.84,0,0.1,0.01,0.78,0.84822,NA
"3","0610009B22Rik",390.38,370.51,579.47,340.4,396.96,399.7,412.9,-0.12,-0.24,0.30824,0.64421
"4","0610009E02Rik",14.69,17.64,27.81,11.94,25.12,12.7,18.3,-0.04,-0.27,0.65758,0.87822
"5","0610009L18Rik",47.22,40.33,61,24.88,33.5,25.41,38.7,-0.25,-0.83,0.04933,0.26705
"6","0610010F05Rik",1280.28,1048.5,1732.13,1557.67,1635.56,1467.84,1453.7,0.11,0.2,0.35493,0.68366
"7","0610010K14Rik",10.49,15.12,18.84,8.96,14.24,16.61,14,-0.02,-0.16,0.80585,0.93945
"8","0610012D04Rik",0,0,0.9,0,0,0,0.1,-0.01,-1.14,0.77947,NA
"9","0610012G03Rik",854.22,1279.12,863.82,901.76,736.97,900.05,922.7,-0.13,-0.24,0.27553,0.61404
"10","0610025J13Rik",0,1.26,0,1,0,2.93,0.9,0.03,1.78,0.53387,NA
"11","0610030E20Rik",266.55,215.5,373.16,201.05,282.22,209.13,257.9,-0.13,-0.31,0.25872,0.59799
"12","0610031O16Rik",0,0,0,1,0,0,0.2,0.01,0.78,0.84822,NA
"13","0610033M10Rik",0,0,0,2.99,0,0.98,0.7,0.03,2.75,0.42257,NA
"14","0610038B21Rik",4.2,1.26,9.87,6.97,2.51,10.75,5.9,0.02,0.36,0.73905,0.9147
"15","0610039K10Rik",1.05,1.26,0.9,0,1.67,0,0.8,-0.01,-0.88,0.73817,NA
"16","0610040B10Rik",33.58,70.57,75.35,50.76,30.15,58.64,53.2,-0.09,-0.37,0.40317,0.72511
"17","0610040F04Rik",13.64,15.12,15.25,23.89,12.56,13.68,15.7,0.03,0.18,0.76782,0.92549
"18","0610040J01Rik",283.34,451.16,258.34,334.43,354.25,318.59,333.3,0.01,0.02,0.92319,0.97652
