"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"1","0610005C13Rik",1.05,2.52,0.9,0,0.84,0
"2","0610006L08Rik",0,0,0,0,0.84,0
"3","0610009B22Rik",390.38,370.51,579.47,340.4,396.96,399.7
"4","0610009E02Rik",14.69,17.64,27.81,11.94,25.12,12.7
"5","0610009L18Rik",47.22,40.33,61,24.88,33.5,25.41
"6","0610010F05Rik",1280.28,1048.5,1732.13,1557.67,1635.56,1467.84
"7","0610010K14Rik",10.49,15.12,18.84,8.96,14.24,16.61
"8","0610012D04Rik",0,0,0.9,0,0,0
"9","0610012G03Rik",854.22,1279.12,863.82,901.76,736.97,900.05
"10","0610025J13Rik",0,1.26,0,1,0,2.93
"11","0610030E20Rik",266.55,215.5,373.16,201.05,282.22,209.13
"12","0610031O16Rik",0,0,0,1,0,0
"13","0610033M10Rik",0,0,0,2.99,0,0.98
"14","0610038B21Rik",4.2,1.26,9.87,6.97,2.51,10.75
"15","0610039K10Rik",1.05,1.26,0.9,0,1.67,0
"16","0610040B10Rik",33.58,70.57,75.35,50.76,30.15,58.64
"17","0610040F04Rik",13.64,15.12,15.25,23.89,12.56,13.68
"18","0610040J01Rik",283.34,451.16,258.34,334.43,354.25,318.59
"19","0610043K17Rik",2.1,0,2.69,2.99,3.35,1.95
"20","0710001A04Rik",0,0,0,0,0,0
"21","1010001B22Rik",6.3,10.08,15.25,4.98,6.7,20.52
"22","1100001I12Rik",0,0,0,0,0,0
"23","1110002E22Rik",125.93,64.27,62.79,205.04,170.84,266.79
"24","1110002J07Rik",30.43,46.63,9.87,19.91,37.69,15.64
"25","1110002L01Rik",315.87,286.07,418.91,327.46,318.24,307.84
"26","1110002O04Rik",4.2,2.52,7.18,1.99,5.02,2.93
"27","1110003F10Rik",3.15,0,13.46,0,0.84,0
"28","1110004F10Rik",2120.86,2255.8,2856.09,2586.83,2446.23,2431.41
"29","1110006O24Rik",11.54,16.38,9.87,14.93,9.21,24.43
"30","1110008E08Rik",0,0,0,0,0,0
"31","1110008P14Rik",3902.77,7232.41,4541.58,4202.22,3785.33,4403.51
"32","1110012L19Rik",291.74,307.49,340.86,353.34,297.3,336.18
"33","1110013H19Rik",3.15,17.64,16.15,17.92,16.75,8.8
"34","1110015O18Rik",23.09,41.59,62.79,31.85,16.75,24.43
"35","1110017D15Rik",28.33,37.81,43.06,29.86,92.12,56.68
"36","1110018N20Rik",111.24,142.41,281.66,213,181.73,152.45
"37","1110019B22Rik",0,0,0,0,0,0
"38","1110019D14Rik",40.93,74.35,74.45,34.84,47.74,48.86
"39","1110020A21Rik",20.99,17.64,25.12,4.98,17.59,10.75
"40","1110025L11Rik",0,0,0,0,0,0
"41","1110025M09Rik",15.74,15.12,17.94,18.91,12.56,10.75
"42","1110028F11Rik",0,0,1.79,0,0,0
"43","1110028F18Rik",0,0,0,0,0,0
"44","1110032A03Rik",802.8,1165.7,976.85,1193.38,896.08,995.82
"45","1110032F04Rik",446,351.6,402.76,454.86,515.88,530.65
"46","1110035H17Rik",1.05,1.26,5.38,4.98,0.84,0
"47","1110038B12Rik",165.81,132.32,249.37,110.48,154.09,141.7
"48","1110038F14Rik",292.79,310.01,386.61,306.56,253.75,274.61
"49","1110046J04Rik",80.8,107.12,118.41,60.71,73.7,84.04
"50","1110051M20Rik",1524.8,1359.78,1711.5,1871.19,1641.42,1770.79
"51","1110057P08Rik",0,0,0,0,0,0
"52","1110059E24Rik",525.76,555.76,835.12,430.97,440.5,463.22
"53","1110059G10Rik",321.12,306.23,578.57,327.46,306.51,323.47
"54","1110060G06Rik",2.1,0,0.9,2.99,0,0
"55","1110065P20Rik",935.03,1430.35,1184.06,887.82,788.05,936.21
"56","1190001M18Rik",0,0,0,0,0,1.95
"57","1190005I06Rik",24.14,54.19,27.81,29.86,16.75,15.64
"58","1190007I07Rik",109.14,133.58,154.29,96.55,119.76,113.36
"59","1190028D05Rik",0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0
"61","1300002E11Rik",91.3,65.53,120.2,72.66,105.52,97.73
"62","1300014J16Rik",0,1.26,5.38,0,0,0.98
"63","1300017J02Rik",4.2,1.26,0,1,1.67,0.98
"64","1500002C15Rik",27.28,27.72,49.34,24.88,38.52,38.11
"65","1500002F19Rik",6.3,22.68,16.15,11.94,4.19,14.66
"66","1500004A13Rik",1390.47,1400.11,1610.14,1606.44,1523.34,1335.91
"67","1500005C15Rik",2.1,0,4.49,0,0,1.95
"68","1500009C09Rik",3389.6,4782.54,3311.77,3597.07,3055.9,3513.23
"69","1500009L16Rik",229.82,240.7,445.82,205.04,252.08,224.77
"70","1500011B03Rik",2186.98,2545.65,2313.4,2793.85,2646.38,2833.06
"71","1500012K07Rik",5.25,6.3,10.76,11.94,5.02,3.91
"72","1500015A07Rik",35.68,30.25,60.1,36.83,55.27,43
"73","1500015L24Rik",3.15,3.78,15.25,0,0,0
"74","1500026H17Rik",62.96,55.45,131.86,52.75,66.16,57.66
"75","1500032F14Rik",1.05,0,4.49,0,0,0
"76","1500035N22Rik",32.53,52.93,68.17,70.67,55.27,64.5
"77","1520401A03Rik",3.15,1.26,2.69,0,0.84,0
"78","1600002D24Rik",0,0,2.69,4.98,0,0
"79","1600010M07Rik",2.1,1.26,0,1,1.67,0.98
"80","1600012H06Rik",494.27,398.23,499.64,435.95,489.92,470.06
"81","1600012P17Rik",0,0,0,0,0,0
"82","1600014C10Rik",873.11,790.16,785.78,817.15,779.68,859.99
"83","1600014C23Rik",4.2,0,5.38,3.98,1.67,0.98
"84","1600017P15Rik",6.3,2.52,0,1,0,0
"85","1600019K03Rik",0,0,0,0,0,0
"86","1600020E01Rik",95.5,190.29,229.64,123.42,140.69,149.52
"87","1600022D10Rik",0,0,0.9,2.99,2.51,0
"88","1600023N17Rik",7.35,0,3.59,1.99,5.02,2.93
"89","1600025M17Rik",0,0,0,0,0,0
"90","1600027J07Rik",2.1,0,0,0,0.84,0
"91","1600029O15Rik",52.47,8.82,23.32,14.93,19.26,19.55
"92","1700001C19Rik",3.15,2.52,3.59,1.99,0,1.95
"93","1700001D01Rik",0,0,0,0,0,0
"94","1700001F09Rik",0,0,0,0,0,0
"95","1700001G01Rik",0,0,0,0,0,0
"96","1700001G11Rik",4.2,5.04,7.18,5.97,5.02,6.84
"97","1700001G17Rik",1.05,2.52,1.79,14.93,4.19,0.98
"98","1700001J03Rik",0,1.26,0,0,0.84,0
"99","1700001J04Rik",0,0,0,0,0,1.95
"100","1700001J11Rik",0,0,0,0,0,0
"101","1700001K19Rik",0,0,0,1,0,0
"102","1700001K23Rik",0,0,0.9,0,0,0
"103","1700001L05Rik",101.79,128.54,161.46,263.76,166.65,158.32
"104","1700001L19Rik",202.54,255.82,453.89,352.34,350.06,356.7
"105","1700001N15Rik",0,0,0,0,0,0
"106","1700001O22Rik",57.72,119.72,80.73,47.78,24.29,39.09
"107","1700001P01Rik",14.69,5.04,17.04,0,3.35,0.98
"108","1700003C15Rik",0,0,0,0,0,0
"109","1700003D09Rik",5.25,3.78,24.22,1,13.4,5.86
"110","1700003E16Rik",703.11,1015.74,771.43,1000.29,719.38,832.62
"111","1700003E24Rik",0,0,0,0,0,0
"112","1700003F12Rik",6.3,6.3,16.15,3.98,3.35,3.91
"113","1700003G18Rik",0,0,0,0,0,0
"114","1700003H04Rik",0,0,0,0,0,0
"115","1700003I16Rik",0,0,0,0,0,0
"116","1700003I22Rik",0,0,0,0,0,0
"117","1700003L19Rik",3.15,5.04,0,1,0.84,3.91
"118","1700003M07Rik",186.8,288.59,280.77,123.42,133.16,120.2
"119","1700003N22Rik",4.2,3.78,7.18,1,3.35,0
"120","1700003O11Rik",0,0,0,0,0,0
"121","1700003P14Rik",0,0,0,0,0,0
"122","1700006A11Rik",0,0,0,0,0,0
"123","1700006F04Rik",0,0,0,0,0,0
"124","1700006H21Rik",0,0,0,0,0,0
"125","1700006J14Rik",1.05,2.52,0,0,0,0
"126","1700006P03Rik",0,0,0,0,0,0
"127","1700007E05Rik",0,0,0,0,0,0
"128","1700007F19Rik",1.05,3.78,5.38,0,0,0
"129","1700007H22Rik",0,0,0,0,0,0
"130","1700007J10Rik",1.05,0,0,0,0,0
"131","1700007K13Rik",54.57,80.65,53.82,56.73,127.29,75.25
"132","1700007L15Rik",10.49,12.6,12.56,12.94,17.59,4.89
"133","1700007M16Rik",0,0,0,0,0,0
"134","1700007P06Rik",12.59,23.94,37.67,27.87,12.56,21.5
"135","1700008A23Rik",0,0,0,1,0,0
"136","1700008B11Rik",0,0,0,0,0,0
"137","1700008C04Rik",0,0,0,0,0,0
"138","1700008H02Rik",0,0,0,0,0,0
"139","1700008J07Rik",52.47,80.65,47.54,76.64,55.27,44.95
"140","1700008K24Rik",0,0,0,0,0,0
"141","1700008N11Rik",0,0,0,0,0,0
"142","1700008O03Rik",62.96,74.35,28.7,25.88,34.34,30.29
"143","1700008P02Rik",0,0,0,0,0,0
"144","1700009C05Rik",3.15,0,0,2.99,4.19,0.98
"145","1700009J07Rik",0,0,0.9,0,0,0
"146","1700009N14Rik",0,0,0,0,0,0
"147","1700010B08Rik",0,0,0,0,0,0
"148","1700010B13Rik",1.05,0,0,2.99,0.84,0
"149","1700010D01Rik",0,0,0,0,0,0
"150","1700010G06Rik",3.15,0,0.9,0,0,0
"151","1700010H22Rik",0,0,0,0,0,0
"152","1700010I02Rik",0,0,0,0,0,0
"153","1700010I14Rik",9.44,12.6,16.15,12.94,9.21,11.73
"154","1700010J16Rik",0,0,0,0,0,2.93
"155","1700010K23Rik",2.1,0,0,0,2.51,0
"156","1700010K24Rik",0,0,4.49,1,1.67,3.91
"157","1700010L04Rik",0,0,0,0,0,0
"158","1700010N08Rik",0,0,0,0,0,0
"159","1700011B04Rik",0,0,0,0,0,0
"160","1700011C11Rik",0,0,0,0,0,0
"161","1700011D18Rik",1.05,1.26,0.9,1,0,0
"162","1700011L03Rik",0,0,0,0,0,0
"163","1700011L22Rik",0,0,0,0,0,0
"164","1700011M02Rik",0,0,0,0,0,0
"165","1700012A03Rik",0,0,0,0,0,0
"166","1700012B07Rik",0,0,0,0,0,0
"167","1700012B09Rik",3.15,2.52,0,3.98,10.05,7.82
"168","1700012C08Rik",0,0,0,0,0,0
"169","1700012C14Rik",1.05,1.26,1.79,2.99,4.19,1.95
"170","1700012D14Rik",7.35,7.56,26.01,15.93,12.56,6.84
"171","1700012D16Rik",0,0,0,0,0,0
"172","1700012E03Rik",0,0,1.79,0,0,0
"173","1700012I11Rik",0,0,0,0,0,0
"174","1700012J15Rik",0,0,0,0,0,0
"175","1700012J22Rik",0,0,0,0,0,0
"176","1700012P22Rik",0,1.26,0,0,0,0
"177","1700013A02Rik",0,0,0,0,0,0
"178","1700013D24Rik",0,0,0,0,0,0
"179","1700013F07Rik",10.49,0,9.87,11.94,23.45,7.82
"180","1700013G24Rik",0,0,0,0,0,0
"181","1700013H16Rik",0,1.26,1.79,0,0,0
"182","1700013M08Rik",0,0,0,0,0,0
"183","1700013N06Rik",0,0,0,0,0,0
"184","1700014D04Rik",3.15,12.6,9.87,8.96,5.02,10.75
"185","1700014F14Rik",0,0,0,0,0,0
"186","1700014L14Rik",0,0,0,0,0,0
"187","1700015C15Rik",0,3.78,0.9,0,1.67,0
"188","1700015C17Rik",0,0,0,0,0,0
"189","1700015F17Rik",0,0,2.69,0,0.84,1.95
"190","1700015G11Rik",0,0,0,0,0,0.98
"191","1700015H07Rik",0,0,0,0,0,0
"192","1700015I17Rik",2.1,0,0.9,0,0,0
"193","1700015O11Rik",0,0,0,0,0,0
"194","1700016A09Rik",6.3,2.52,4.49,12.94,7.54,1.95
"195","1700016B01Rik",0,0,0,0,0,0
"196","1700016B15Rik",0,0,0,0,0,0
"197","1700016C15Rik",1.05,0,0,0,0,3.91
"198","1700016D06Rik",1.05,0,0.9,0,0,0
"199","1700016D08Rik",0,0,0,0,0,0
"200","1700016F12Rik",0,0,0,0,0,0
"201","1700016G22Rik",0,0,0,0,0,0
"202","1700016H03Rik",0,0,0,0,0,0
"203","1700016H13Rik",3.15,0,0,0,0.84,0.98
"204","1700016J18Rik",2.1,0,0,0,0.84,0.98
"205","1700016K05Rik",0,0,0,0,0,0
"206","1700016K19Rik",53.52,60.49,83.42,59.72,97.98,86
"207","1700016L21Rik",0,0,0,0,0,0
"208","1700016P03Rik",40.93,76.87,135.45,69.67,67,88.93
"209","1700016P04Rik",0,0,0,0,0,0
"210","1700017B05Rik",453.35,519.21,234.12,288.64,263.8,336.18
"211","1700017G19Rik",0,0,0.9,1,0,0
"212","1700017I07Rik",0,0,0,0,0,0
"213","1700017J07Rik",0,0,2.69,0,0,0
"214","1700017L05Rik",0,0,0,0,0,0
"215","1700017M07Rik",1.05,13.86,4.49,2.99,7.54,0.98
"216","1700017N19Rik",0,0,1.79,0,0.84,0
"217","1700018A04Rik",3.15,10.08,8.97,8.96,0,0
"218","1700018A14Rik",0,2.52,0,1,0.84,0
"219","1700018A23Rik",0,0,1.79,0,0,0.98
"220","1700018B08Rik",0,0,0,0,0,0
"221","1700018B24Rik",0,0,0,0,0,0
"222","1700018F24Rik",0,0,0,0,0,0
"223","1700018G05Rik",0,0,0,0,0,0
"224","1700018L02Rik",7.35,7.56,8.97,4.98,5.86,15.64
"225","1700018M17Rik",0,0,0,0,0,0.98
"226","1700018P08Rik",0,0,0,0,0,0
"227","1700019A02Rik",0,2.52,2.69,2.99,0,6.84
"228","1700019A23Rik",0,0,0,0,0,0
"229","1700019C18Rik",0,0,0.9,0,3.35,0
"230","1700019D03Rik",313.77,308.75,439.54,397.13,424.59,408.49
"231","1700019E08Rik",0,0,0,0,0,0
"232","1700019F05Rik",0,0,0,0,0,0
"233","1700019G24Rik",2.1,1.26,1.79,0,15.91,2.93
"234","1700019J19Rik",0,0,0,0,0,0
"235","1700019L13Rik",0,0,0,1.99,0,0
"236","1700019M22Rik",0,0,0,0,0,0
"237","1700019N19Rik",0,0,0.9,1,0,0
"238","1700019P21Rik",0,0,0,0,0,0
"239","1700020A23Rik",0,0,0,0,0,0
"240","1700020D05Rik",1.05,1.26,2.69,0,0,4.89
"241","1700020D12Rik",0,0,0,0,0,0
"242","1700020G03Rik",0,0,0,0,0.84,0
"243","1700020G17Rik",1.05,0,0,0,0,0
"244","1700020L24Rik",7.35,3.78,8.07,5.97,8.37,3.91
"245","1700020M21Rik",0,0,0,0,0,0
"246","1700020N01Rik",0,2.52,7.18,1.99,0,1.95
"247","1700020N15Rik",0,0,0,0,0.84,0
"248","1700020N18Rik",10.49,6.3,0,1.99,10.89,3.91
"249","1700021A07Rik",0,0,0,0,0,0
"250","1700021F02Rik",0,0,0,0,0,0
"251","1700021F07Rik",0,0,1.79,0,0,0.98
"252","1700021F13Rik",0,0,0,0,0,0
"253","1700021G15Rik",0,0,0,0,0,0
"254","1700021J08Rik",0,0,1.79,0,0,0.98
"255","1700021L23Rik",0,2.52,0,0,0,0
"256","1700021N21Rik",1.05,0,0,1,0,0
"257","1700021P04Rik",0,0,0,0,0,0
"258","1700022A21Rik",0,0,0,0,0,0
"259","1700022A22Rik",0,0,0,0,0,0
"260","1700022E09Rik",0,0,0,0,0,0
"261","1700022H01Rik",0,0,0,0,0.84,0
"262","1700022H16Rik",0,0,0,0,0,0
"263","1700022I11Rik",3.15,0,0,1,10.05,2.93
"264","1700022N22Rik",7.35,2.52,2.69,5.97,3.35,1.95
"265","1700023B13Rik",2.1,0,0.9,0,2.51,3.91
"266","1700023C21Rik",0,0,0,0,0,0
"267","1700023F02Rik",0,0,11.66,6.97,3.35,1.95
"268","1700023G09Rik",0,0,0,0,0,0
"269","1700023H06Rik",0,0,0,0,0,0
"270","1700024B05Rik",0,0,0,0,0,0
"271","1700024B18Rik",0,0,0,0,0,0
"272","1700024G13Rik",1.05,2.52,0.9,0,25.96,6.84
"273","1700024I08Rik",0,0,0,0,0,0
"274","1700024J04Rik",0,0,0,0,0,0
"275","1700025A08Rik",0,2.52,1.79,0,1.67,0
"276","1700025B11Rik",0,0,0,0,0,0
"277","1700025C18Rik",0,0,0,0,0,0
"278","1700025D23Rik",1.05,0,0,0,0,0
"279","1700025F24Rik",0,0,2.69,0,0.84,0
"280","1700025G04Rik",3938.45,4042.79,4018.62,4408.25,3628.72,3932.48
"281","1700025H01Rik",0,0,0,0,0,0
"282","1700025J12Rik",0,0,2.69,3.98,0,0
"283","1700025K04Rik",0,0,0,0,0,0
"284","1700025K24Rik",0,0,3.59,0,0,0
"285","1700025L06Rik",0,0,0,0,0,0
"286","1700025M24Rik",0,0,0,0,0,0
"287","1700025N21Rik",0,0,0,0,0,0
"288","1700025N23Rik",0,0,0,0,0,0
"289","1700025O08Rik",0,0,0,0,0,0
