#GENE	CTX-M-CRE2
0610005C13Rik	2
0610006L08Rik	0
0610009B22Rik	294
0610009E02Rik	14
0610009L18Rik	32
0610010F05Rik	832
0610010K14Rik	12
0610012D04Rik	0
0610012G03Rik	1015
0610025J13Rik	1
0610030E20Rik	171
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	1
0610039K10Rik	1
0610040B10Rik	56
0610040F04Rik	12
0610040J01Rik	358
0610043K17Rik	0
0710001A04Rik	0
1010001B22Rik	8
1100001I12Rik	0
1110002E22Rik	51
1110002J07Rik	37
1110002L01Rik	227
1110002O04Rik	2
1110003F10Rik	0
1110004F10Rik	1790
1110006O24Rik	13
1110008E08Rik	0
1110008P14Rik	5739
1110012L19Rik	244
1110013H19Rik	14
1110015O18Rik	33
1110017D15Rik	30
1110018N20Rik	113
1110019B22Rik	0
1110019D14Rik	59
1110020A21Rik	14
1110025L11Rik	0
1110025M09Rik	12
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	925
1110032F04Rik	279
1110035H17Rik	1
1110038B12Rik	105
1110038F14Rik	246
1110046J04Rik	85
1110051M20Rik	1079
1110057P08Rik	0
1110059E24Rik	441
1110059G10Rik	243
1110060G06Rik	0
1110065P20Rik	1135
1190001M18Rik	0
1190005I06Rik	43
1190007I07Rik	106
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	52
1300014J16Rik	1
1300017J02Rik	1
1500002C15Rik	22
1500002F19Rik	18
1500004A13Rik	1111
1500005C15Rik	0
1500009C09Rik	3795
1500009L16Rik	191
1500011B03Rik	2020
1500012K07Rik	5
1500015A07Rik	24
1500015L24Rik	3
1500026H17Rik	44
1500032F14Rik	0
1500035N22Rik	42
1520401A03Rik	1
1600002D24Rik	0
1600010M07Rik	1
1600012H06Rik	316
1600012P17Rik	0
1600014C10Rik	627
1600014C23Rik	0
1600017P15Rik	2
1600019K03Rik	0
1600020E01Rik	151
1600022D10Rik	0
1600023N17Rik	0
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	7
1700001C19Rik	2
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	0
1700001G11Rik	4
1700001G17Rik	2
1700001J03Rik	1
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001K23Rik	0
1700001L05Rik	102
1700001L19Rik	203
1700001N15Rik	0
1700001O22Rik	95
1700001P01Rik	4
1700003C15Rik	0
1700003D09Rik	3
1700003E16Rik	806
1700003E24Rik	0
1700003F12Rik	5
1700003G18Rik	0
1700003H04Rik	0
1700003I16Rik	0
1700003I22Rik	0
1700003L19Rik	4
1700003M07Rik	229
1700003N22Rik	3
1700003O11Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H21Rik	0
1700006J14Rik	2
1700006P03Rik	0
1700007E05Rik	0
1700007F19Rik	3
1700007H22Rik	0
1700007J10Rik	0
1700007K13Rik	64
1700007L15Rik	10
1700007M16Rik	0
1700007P06Rik	19
1700008A23Rik	0
1700008B11Rik	0
1700008C04Rik	0
1700008H02Rik	0
1700008J07Rik	64
1700008K24Rik	0
1700008N11Rik	0
1700008O03Rik	59
1700008P02Rik	0
1700009C05Rik	0
1700009J07Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010B13Rik	0
1700010D01Rik	0
1700010G06Rik	0
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	10
1700010J16Rik	0
1700010K23Rik	0
1700010K24Rik	0
1700010L04Rik	0
1700010N08Rik	0
1700011B04Rik	0
1700011C11Rik	0
1700011D18Rik	1
1700011L03Rik	0
1700011L22Rik	0
1700011M02Rik	0
1700012A03Rik	0
1700012B07Rik	0
1700012B09Rik	2
1700012C08Rik	0
1700012C14Rik	1
1700012D14Rik	6
1700012D16Rik	0
1700012E03Rik	0
1700012I11Rik	0
1700012J15Rik	0
1700012J22Rik	0
1700012P22Rik	1
1700013A02Rik	0
1700013D24Rik	0
1700013F07Rik	0
1700013G24Rik	0
1700013H16Rik	1
1700013M08Rik	0
1700013N06Rik	0
1700014D04Rik	10
1700014F14Rik	0
1700014L14Rik	0
1700015C15Rik	3
1700015C17Rik	0
1700015F17Rik	0
1700015G11Rik	0
1700015H07Rik	0
1700015I17Rik	0
1700015O11Rik	0
1700016A09Rik	2
1700016B01Rik	0
1700016B15Rik	0
1700016C15Rik	0
1700016D06Rik	0
1700016D08Rik	0
1700016F12Rik	0
1700016G22Rik	0
1700016H03Rik	0
1700016H13Rik	0
1700016J18Rik	0
1700016K05Rik	0
1700016K19Rik	48
1700016L21Rik	0
1700016P03Rik	61
1700016P04Rik	0
1700017B05Rik	412
1700017G19Rik	0
1700017I07Rik	0
1700017J07Rik	0
1700017L05Rik	0
1700017M07Rik	11
1700017N19Rik	0
1700018A04Rik	8
1700018A14Rik	2
1700018A23Rik	0
1700018B08Rik	0
1700018B24Rik	0
1700018F24Rik	0
1700018G05Rik	0
1700018L02Rik	6
1700018M17Rik	0
1700018P08Rik	0
1700019A02Rik	2
1700019A23Rik	0
1700019C18Rik	0
1700019D03Rik	245
1700019E08Rik	0
1700019F05Rik	0
1700019G24Rik	1
1700019J19Rik	0
1700019L13Rik	0
1700019M22Rik	0
1700019N19Rik	0
1700019P21Rik	0
1700020A23Rik	0
1700020D05Rik	1
1700020D12Rik	0
1700020G03Rik	0
1700020G17Rik	0
1700020L24Rik	3
1700020M21Rik	0
1700020N01Rik	2
1700020N15Rik	0
1700020N18Rik	5
1700021A07Rik	0
1700021F02Rik	0
1700021F07Rik	0
1700021F13Rik	0
1700021G15Rik	0
1700021J08Rik	0
1700021L23Rik	2
1700021N21Rik	0
1700021P04Rik	0
1700022A21Rik	0
1700022A22Rik	0
1700022E09Rik	0
1700022H01Rik	0
1700022H16Rik	0
1700022I11Rik	0
1700022N22Rik	2
1700023B13Rik	0
1700023C21Rik	0
1700023F02Rik	0
1700023G09Rik	0
1700023H06Rik	0
1700024B05Rik	0
1700024B18Rik	0
1700024G13Rik	2
1700024I08Rik	0
1700024J04Rik	0
1700025A08Rik	2
1700025B11Rik	0
1700025C18Rik	0
1700025D23Rik	0
1700025F24Rik	0
1700025G04Rik	3208
1700025H01Rik	0
1700025J12Rik	0
1700025K04Rik	0
1700025K24Rik	0
1700025L06Rik	0
1700025M24Rik	0
1700025N21Rik	0
1700025N23Rik	0
1700025O08Rik	0
1700026D11Rik	1
1700026F02Rik	0
1700026J12Rik	0
