"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"1","0610005C13Rik",0.9,2.19,0.78,1.64,0.98,1.21,2.39,0,0.73,0
"2","0610006L08Rik",0,0,0,0,1.96,0,0,0,0.73,0
"3","0610009B22Rik",334.73,322.4,501.52,609.11,581.96,479.35,500.39,297.82,343.83,348.82
"4","0610009E02Rik",12.6,15.35,24.07,44.21,26.5,46.11,22.74,10.45,21.76,11.09
"5","0610009L18Rik",40.49,35.09,52.79,60.58,67.72,44.9,65.84,21.77,29.02,22.17
"6","0610010F05Rik",1097.78,912.36,1499.13,1540.79,1540.76,1326.39,1442.51,1362.84,1416.67,1280.98
"7","0610010K14Rik",9,13.16,16.3,22.92,33.37,24.27,22.74,7.84,12.33,14.5
"8","0610012D04Rik",0,0,0.78,0,0,0,0,0,0,0
"9","0610012G03Rik",732.45,1113.03,747.63,925.13,1019.65,749.96,857.13,788.97,638.33,785.47
"10","0610025J13Rik",0,1.1,0,8.19,0.98,0,0,0.87,0,2.56
"11","0610030E20Rik",228.55,187.52,322.96,376.6,338.58,343.43,357.93,175.91,244.45,182.51
"12","0610031O16Rik",0,0,0,0,0,0,0,0.87,0,0
"13","0610033M10Rik",0,0,0,0,2.94,0,1.2,2.61,0,0.85
"14","0610038B21Rik",3.6,1.1,8.54,0,9.81,7.28,8.38,6.1,2.18,9.38
"15","0610039K10Rik",0.9,1.1,0.78,0,0.98,1.21,1.2,0,1.45,0
"16","0610040B10Rik",28.79,61.41,65.21,99.88,82.44,65.53,79.01,44.41,26.11,51.17
"17","0610040F04Rik",11.7,13.16,13.2,18.01,16.68,19.42,10.77,20.9,10.88,11.94
"18","0610040J01Rik",242.95,392.58,223.59,278.36,263.99,303.38,286.11,292.6,306.84,278.03
"19","0610043K17Rik",1.8,0,2.33,3.27,3.93,1.21,5.99,2.61,2.9,1.71
"20","0710001A04Rik",0,0,0,0,0,0,0,0,0,0
"21","1010001B22Rik",5.4,8.77,13.2,11.46,3.93,12.14,5.99,4.35,5.8,17.91
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,0
"23","1110002E22Rik",107.98,55.93,54.34,116.26,96.18,135.92,92.18,179.39,147.98,232.83
"24","1110002J07Rik",26.09,40.57,8.54,40.94,36.31,37.62,45.49,17.42,32.64,13.65
"25","1110002L01Rik",270.85,248.92,362.56,563.27,419.05,405.32,407.02,286.5,275.64,268.65
"26","1110002O04Rik",3.6,2.19,6.21,1.64,3.93,18.2,7.18,1.74,4.35,2.56
"27","1110003F10Rik",2.7,0,11.65,4.91,3.93,8.49,7.18,0,0.73,0
"28","1110004F10Rik",1818.54,1962.88,2471.9,2778.67,2500.55,2288.72,1934.52,2263.27,2118.83,2121.89
"29","1110006O24Rik",9.9,14.26,8.54,11.46,13.74,9.71,20.35,13.06,7.98,21.32
"30","1110008E08Rik",0,0,0,1.64,0,0,0,0,0,0
"31","1110008P14Rik",3346.43,6293.29,3930.67,4322.74,4300.4,3873.6,4022.27,3676.62,3278.72,3842.94
"32","1110012L19Rik",250.15,267.57,295.01,330.76,367.04,303.38,257.38,309.14,257.51,293.38
"33","1110013H19Rik",2.7,15.35,13.97,3.27,5.89,12.14,20.35,15.67,14.51,7.68
"34","1110015O18Rik",19.8,36.19,54.34,40.94,70.66,31.55,50.28,27.87,14.51,21.32
"35","1110017D15Rik",24.3,32.9,37.26,36.02,42.2,36.41,41.9,26.12,79.79,49.47
"36","1110018N20Rik",95.38,123.91,243.77,327.48,211,228.14,252.59,186.36,157.41,133.04
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,0
"38","1110019D14Rik",35.09,64.7,64.44,80.23,63.79,57.04,68.23,30.48,41.35,42.64
"39","1110020A21Rik",18,15.35,21.74,16.37,18.65,26.7,35.91,4.35,15.23,9.38
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,0
"41","1110025M09Rik",13.5,13.16,15.53,11.46,12.76,20.63,4.79,16.55,10.88,9.38
"42","1110028F11Rik",0,0,1.55,0,0,0,0,0,0,0
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,0
"44","1110032A03Rik",688.36,1014.34,845.45,988.99,916.61,874.96,937.33,1044.12,776.16,869.05
"45","1110032F04Rik",382.42,305.95,348.58,574.73,529.94,435.66,457.29,397.97,446.83,463.1
"46","1110035H17Rik",0.9,1.1,4.66,1.64,1.96,2.43,3.59,4.35,0.73,0
"47","1110038B12Rik",142.17,115.14,215.83,293.09,268.9,231.78,300.47,96.66,133.47,123.66
"48","1110038F14Rik",251.05,269.76,334.61,350.4,305.21,285.18,278.93,268.21,219.79,239.65
"49","1110046J04Rik",69.29,93.21,102.48,180.11,133.47,114.07,136.47,53.12,63.83,73.34
"50","1110051M20Rik",1307.44,1183.21,1481.28,1395.07,1429.87,1215.96,1194.71,1637.15,1421.74,1545.36
"51","1110057P08Rik",0,0,0,0,0,0,0,0,0,0
