"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4"
"1","0610005C13Rik",0.83,2,0.72,1.5,0.9,1.11,2.19
"2","0610006L08Rik",0,0,0,0,1.79,0,0
"3","0610009B22Rik",307.49,294.18,462.26,558.08,532.03,440.32,458.64
"4","0610009E02Rik",11.57,14.01,22.18,40.51,24.22,42.36,20.85
"5","0610009L18Rik",37.2,32.02,48.66,55.51,61.91,41.25,60.35
"6","0610010F05Rik",1008.45,832.51,1381.76,1411.7,1408.58,1218.41,1322.16
"7","0610010K14Rik",8.27,12.01,15.03,21,30.5,22.29,20.85
"8","0610012D04Rik",0,0,0.72,0,0,0,0
"9","0610012G03Rik",672.85,1015.62,689.09,847.62,932.17,688.91,785.62
"10","0610025J13Rik",0,1,0,7.5,0.9,0,0
"11","0610030E20Rik",209.96,171.1,297.68,345.05,309.53,315.47,328.07
"12","0610031O16Rik",0,0,0,0,0,0,0
"13","0610033M10Rik",0,0,0,0,2.69,0,1.1
"14","0610038B21Rik",3.31,1,7.87,0,8.97,6.69,7.68
"15","0610039K10Rik",0.83,1,0.72,0,0.9,1.11,1.1
"16","0610040B10Rik",26.45,56.03,60.11,91.51,75.36,60.2,72.42
"17","0610040F04Rik",10.75,12.01,12.16,16.5,15.25,17.84,9.88
"18","0610040J01Rik",223.18,358.22,206.08,255.04,241.34,278.69,262.24
"19","0610043K17Rik",1.65,0,2.15,3,3.59,1.11,5.49
"20","0710001A04Rik",0,0,0,0,0,0,0
"21","1010001B22Rik",4.96,8,12.16,10.5,3.59,11.15,5.49
"22","1100001I12Rik",0,0,0,0,0,0,0
"23","1110002E22Rik",99.19,51.03,50.09,106.52,87.92,124.85,84.49
"24","1110002J07Rik",23.97,37.02,7.87,37.51,33.2,34.56,41.69
"25","1110002L01Rik",248.81,227.14,334.17,516.07,383.1,372.32,373.06
"26","1110002O04Rik",3.31,2,5.72,1.5,3.59,16.72,6.58
"27","1110003F10Rik",2.48,0,10.73,4.5,3.59,7.8,6.58
"28","1110004F10Rik",1670.56,1791.1,2278.36,2545.87,2286.03,2102.4,1773.12
"29","1110006O24Rik",9.09,13.01,7.87,10.5,12.56,8.92,18.65
"30","1110008E08Rik",0,0,0,1.5,0,0,0
"31","1110008P14Rik",3074.12,5742.52,3622.91,3960.57,3931.46,3558.25,3686.69
"32","1110012L19Rik",229.79,244.15,271.92,303.04,335.55,278.69,235.9
"33","1110013H19Rik",2.48,14.01,12.88,3,5.38,11.15,18.65
"34","1110015O18Rik",18.19,33.02,50.09,37.51,64.6,28.98,46.08
"35","1110017D15Rik",22.32,30.02,34.35,33,38.58,33.44,38.4
"36","1110018N20Rik",87.62,113.07,224.69,300.04,192.89,209.57,231.52
"37","1110019B22Rik",0,0,0,0,0,0,0
"38","1110019D14Rik",32.24,59.04,59.39,73.51,58.32,52.39,62.54
"39","1110020A21Rik",16.53,14.01,20.04,15,17.05,24.52,32.92
"40","1110025L11Rik",0,0,0,0,0,0,0
"41","1110025M09Rik",12.4,12.01,14.31,10.5,11.66,18.95,4.39
"42","1110028F11Rik",0,0,1.43,0,0,0,0
"43","1110028F18Rik",0,0,0,0,0,0,0
"44","1110032A03Rik",632.35,925.57,779.25,906.13,837.97,803.73,859.13
"45","1110032F04Rik",351.3,279.17,321.29,526.58,484.48,400.19,419.14
"46","1110035H17Rik",0.83,1,4.29,1.5,1.79,2.23,3.29
"47","1110038B12Rik",130.6,105.06,198.93,268.54,245.83,212.92,275.4
"48","1110038F14Rik",230.62,246.15,308.41,321.05,279.02,261.96,255.65
"49","1110046J04Rik",63.65,85.05,94.45,165.02,122.02,104.79,125.08
"50","1110051M20Rik",1201.05,1079.66,1365.3,1278.18,1307.2,1116.97,1095.04
"51","1110057P08Rik",0,0,0,0,0,0,0
"52","1110059E24Rik",414.13,441.27,666.19,814.62,755.43,655.47,705.52
"53","1110059G10Rik",252.94,243.15,461.54,511.57,477.3,399.08,392.81
"54","1110060G06Rik",1.65,0,0.72,0,0.9,2.23,1.1
"55","1110065P20Rik",736.5,1135.7,944.55,1407.2,1169.03,978.74,1153.19
"56","1190001M18Rik",0,0,0,0,0,0,0
"57","1190005I06Rik",19.01,43.03,22.18,24,24.22,16.72,21.94
"58","1190007I07Rik",85.97,106.07,123.08,184.53,152.52,147.15,164.58
"59","1190028D05Rik",0,0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0,0
"61","1300002E11Rik",71.91,52.03,95.89,148.52,113.94,117.05,118.5
"62","1300014J16Rik",0,1,4.29,1.5,9.87,5.57,1.1
"63","1300017J02Rik",3.31,1,0,4.5,1.79,0,1.1
"64","1500002C15Rik",21.49,22.01,39.36,45.01,40.37,15.61,27.43
"65","1500002F19Rik",4.96,18.01,12.88,13.5,9.87,6.69,6.58
"66","1500004A13Rik",1095.24,1111.68,1284.44,1075.66,1349.37,1193.89,1334.23
