"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"1","0610005C13Rik",1.64,0,3.2,1.94,0,0
"2","0610006L08Rik",0,2.97,3.2,0,0,0
"3","0610009B22Rik",396.88,396.55,363.18,365.77,446.49,459.03
"4","0610009E02Rik",5.73,18.79,11.72,13.58,19.56,21.19
"5","0610009L18Rik",39.28,25.71,33.02,42.69,37.97,40.35
"6","0610010F05Rik",1252.82,1205.47,1429.3,1353.45,1276.17,1281.24
"7","0610010K14Rik",1.64,15.82,7.46,6.79,9.21,12.11
"8","0610012D04Rik",0,0,0,0.97,0,0
"9","0610012G03Rik",711.1,756.51,751.93,512.27,635.21,676.94
"10","0610025J13Rik",0,2.97,0,0.97,0,6.05
"11","0610030E20Rik",310.95,267,223.66,281.36,239.35,229.01
"12","0610031O16Rik",0,0,0,0,0,0
"13","0610033M10Rik",0,0,0,0,1.15,0
"14","0610038B21Rik",4.09,5.93,7.46,2.91,1.15,13.12
"15","0610039K10Rik",0,0.99,2.13,1.94,1.15,1.01
"16","0610040B10Rik",45.01,59.33,39.41,43.66,47.18,54.48
"17","0610040F04Rik",12.27,18.79,6.39,16.49,19.56,14.12
"18","0610040J01Rik",160.39,240.3,209.82,192.1,178.36,252.21
"19","0610043K17Rik",4.91,2.97,1.07,0.97,0,6.05
"20","0710001A04Rik",0,0,0,0,0,0
"21","1010001B22Rik",18.82,11.87,4.26,1.94,21.86,6.05
"22","1100001I12Rik",0,0,0,0,0,0
"23","1110002E22Rik",34.37,16.81,113.96,8.73,19.56,16.14
"24","1110002J07Rik",31.91,23.73,29.82,18.43,12.66,22.19
"25","1110002L01Rik",387.88,275.9,269.46,306.59,281.93,363.19
"26","1110002O04Rik",9.82,1.98,6.39,1.94,1.15,4.04
"27","1110003F10Rik",0,0.99,0,0.97,0,0
"28","1110004F10Rik",2141.5,2251.73,2174.84,2067.52,1865.34,2084.29
"29","1110006O24Rik",8.18,6.92,11.72,3.88,17.26,9.08
"30","1110008E08Rik",0,0,0,1.94,0,1.01
"31","1110008P14Rik",1123.53,997.8,2200.4,934.32,937.85,1061.31
"32","1110012L19Rik",306.05,315.46,299.28,251.29,296.89,343.01
"33","1110013H19Rik",4.91,9.89,9.59,11.64,6.9,10.09
"34","1110015O18Rik",136.66,122.62,57.51,155.23,118.53,129.13
"35","1110017D15Rik",49.92,88.01,17.04,139.71,121.98,143.26
"36","1110018N20Rik",73.65,95.92,116.09,103.81,112.77,92.81
"37","1110019B22Rik",0,0,0,0,0,0
"38","1110019D14Rik",30.28,41.53,31.95,46.57,41.43,50.44
"39","1110020A21Rik",13.09,5.93,17.04,15.52,12.66,16.14
"40","1110025L11Rik",0,0,0,0,0,0
"41","1110025M09Rik",9,11.87,7.46,15.52,10.36,11.1
"42","1110028F11Rik",0,0,0,2.91,2.3,0
"43","1110028F18Rik",0,0,0,0,0,0
"44","1110032A03Rik",634.18,744.64,816.9,860.58,968.92,1140
"45","1110032F04Rik",128.47,193.83,442,132.92,121.98,131.15
"46","1110035H17Rik",0.82,2.97,3.2,4.85,2.3,4.04
"47","1110038B12Rik",171.84,143.39,141.65,122.25,141.54,115.01
"48","1110038F14Rik",253.67,302.6,262,225.09,250.86,272.39
"49","1110046J04Rik",29.46,44.5,55.38,29.11,27.62,43.38
"50","1110051M20Rik",1620.24,1866.06,1724.32,1843.41,1798.6,1776.59
"51","1110057P08Rik",0,0,0,0,0,0
"52","1110059E24Rik",545.81,663.55,536.79,540.41,536.24,601.28
"53","1110059G10Rik",506.53,434.13,317.39,309.5,303.79,381.35
"54","1110060G06Rik",0,0.99,3.2,0.97,0,3.03
"55","1110065P20Rik",655.46,742.67,754.06,668.48,701.95,829.28
"56","1190001M18Rik",0,0,1.07,2.91,0,0
"57","1190005I06Rik",16.37,29.67,23.43,20.37,18.41,21.19
"58","1190007I07Rik",106.38,104.82,91.59,108.66,116.22,98.87
"59","1190028D05Rik",0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0
"61","1300002E11Rik",118.65,114.71,84.14,110.6,147.29,153.35
"62","1300014J16Rik",0.82,0.99,5.33,4.85,3.45,3.03
"63","1300017J02Rik",0,2.97,0,0,4.6,1.01
"64","1500002C15Rik",15.55,32.63,20.24,32.02,42.58,30.27
"65","1500002F19Rik",9.82,11.87,7.46,6.79,6.9,9.08
"66","1500004A13Rik",1078.52,1147.13,1500.66,1145.82,1115.06,895.86
"67","1500005C15Rik",0,0,2.13,0,0,1.01
"68","1500009C09Rik",2582.56,3005.28,3097.18,2998.93,3071.32,3616.74
"69","1500009L16Rik",312.59,381.72,287.56,300.77,357.88,327.88
"70","1500011B03Rik",2166.05,2580.05,2387.85,2704.95,2541.98,2903.48
"71","1500012K07Rik",1.64,0,0,0,1.15,2.02
"72","1500015A07Rik",42.55,56.37,42.6,42.69,47.18,43.38
"73","1500015L24Rik",0,13.84,4.26,0.97,1.15,0
