"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"1","0610005C13Rik",1.84,0,3.6,0,0.81,3.04,1.53,2.18,0,0
"2","0610006L08Rik",0,3.33,3.6,0,0,0,0,0,0,0
"3","0610009B22Rik",446.88,445.68,409.55,457.54,441.64,444.22,456.25,410.22,501.47,514.99
"4","0610009E02Rik",6.45,21.12,13.21,19.13,23.37,6.07,23.77,15.23,21.97,23.77
"5","0610009L18Rik",44.23,28.9,37.23,46.67,42.71,35.42,39.11,47.88,42.65,45.27
"6","0610010F05Rik",1410.68,1354.83,1611.79,1434.58,1336.21,1365.03,1443.12,1517.93,1433.33,1437.44
"7","0610010K14Rik",1.84,17.78,8.41,19.89,5.64,13.15,14.57,7.62,10.34,13.58
"8","0610012D04Rik",0,0,0,0,1.61,0,0,1.09,0,0
"9","0610012G03Rik",800.71,850.24,847.93,951.03,739.03,728.56,759.13,574.53,713.43,759.46
"10","0610025J13Rik",0,3.33,0,0,0.81,0,1.53,1.09,0,6.79
"11","0610030E20Rik",350.14,300.09,252.22,376.43,392.48,234.76,267.61,315.56,268.83,256.93
"12","0610031O16Rik",0,0,0,0,0,0,0,0,0,0
"13","0610033M10Rik",0,0,0,0.77,0,0,0,0,1.29,0
"14","0610038B21Rik",4.61,6.67,8.41,7.65,10.48,7.08,10.74,3.26,1.29,14.71
"15","0610039K10Rik",0,1.11,2.4,0,0,2.02,0,2.18,1.29,1.13
"16","0610040B10Rik",50.68,66.69,44.44,52.03,38.68,55.65,40.64,48.97,52.99,61.12
"17","0610040F04Rik",13.82,21.12,7.21,12.24,17.73,10.12,17.64,18.5,21.97,15.85
"18","0610040J01Rik",180.6,270.08,236.6,343.53,298.19,236.78,218.54,215.45,200.33,282.96
"19","0610043K17Rik",5.53,3.33,1.2,0,0,0,1.53,1.09,0,6.79
"20","0710001A04Rik",0,0,0,0,0,0,1.53,0,0,0
"21","1010001B22Rik",21.19,13.34,4.8,13.77,12.09,14.17,7.67,2.18,24.56,6.79
