"","gene","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"1","0610005C13Rik",0,0.83,3.14,1.58,2.25,0,0
"2","0610006L08Rik",0,0,0,0,0,0,0
"3","0610009B22Rik",475.17,455.58,459.04,471.35,423.21,517.43,532.32
"4","0610009E02Rik",19.86,24.11,6.27,24.56,15.72,22.67,24.57
"5","0610009L18Rik",48.47,44.06,36.6,40.4,49.39,44.01,46.8
"6","0610010F05Rik",1489.87,1378.37,1410.57,1490.9,1565.98,1478.94,1485.81
"7","0610010K14Rik",20.66,5.82,13.59,15.05,7.86,10.67,14.04
"8","0610012D04Rik",0,1.66,0,0,1.12,0,0
"9","0610012G03Rik",987.69,762.34,752.86,784.27,592.72,736.14,785.02
"10","0610025J13Rik",0,0.83,0,1.58,1.12,0,7.02
"11","0610030E20Rik",390.94,404.86,242.59,276.47,325.54,277.39,265.57
"12","0610031O16Rik",0,0,0,0,0,0,0
"13","0610033M10Rik",0.79,0,0,0,0,1.33,0
"14","0610038B21Rik",7.95,10.81,7.32,11.09,3.37,1.33,15.21
"15","0610039K10Rik",0,0,2.09,0,2.25,1.33,1.17
"16","0610040B10Rik",54.03,39.9,57.51,41.99,50.52,54.68,63.18
"17","0610040F04Rik",12.71,18.29,10.46,18.22,19.08,22.67,16.38
"18","0610040J01Rik",356.77,307.6,244.68,225.77,222.27,206.71,292.48
"19","0610043K17Rik",0,0,0,1.58,1.12,0,7.02
"20","0710001A04Rik",0,0,0,1.58,0,0,0
"21","1010001B22Rik",14.3,12.47,14.64,7.92,2.25,25.34,7.02
"22","1100001I12Rik",0,0,0,0,0,0,0
"23","1110002E22Rik",55.62,15.8,8.37,11.09,10.1,22.67,18.72
"24","1110002J07Rik",45.29,36.58,31.37,22.18,21.33,14.67,25.74
"25","1110002L01Rik",455.31,458.07,292.78,281.23,354.73,326.73,421.18
"26","1110002O04Rik",7.15,0.83,3.14,1.58,2.25,1.33,4.68
"27","1110003F10Rik",1.59,0.83,1.05,0.79,1.12,0,0
"28","1110004F10Rik",2563.38,2507.33,2545.09,2411.42,2392.19,2161.74,2417.08
"29","1110006O24Rik",15.1,19.95,8.37,15.84,4.49,20,10.53
"30","1110008E08Rik",0,0,1.05,1.58,2.25,0,1.17
"31","1110008P14Rik",1915.78,1005.92,1013.23,1090.84,1081.03,1086.87,1230.77
"32","1110012L19Rik",353.6,335.86,314.74,321.63,290.74,344.06,397.78
"33","1110013H19Rik",17.48,7.48,10.46,10.3,13.47,8,11.7
"34","1110015O18Rik",107.27,141.33,157.89,200.42,179.61,137.36,149.75
"35","1110017D15Rik",84.23,188.71,163.12,95.06,161.65,141.36,166.13
"36","1110018N20Rik",158.92,114.73,71.1,59.41,120.11,130.69,107.63
"37","1110019B22Rik",0,0,0,0,0,0,0
"38","1110019D14Rik",59.59,59.86,47.05,35.65,53.88,48.01,58.5
"39","1110020A21Rik",15.1,19.12,10.46,19.8,17.96,14.67,18.72
"40","1110025L11Rik",0,0,0,0,0,0,0
"41","1110025M09Rik",4.77,6.65,8.37,9.51,17.96,12,12.87
"42","1110028F11Rik",1.59,0.83,0,0,3.37,2.67,0
"43","1110028F18Rik",0,0,0,0,0,0,0
"44","1110032A03Rik",977.36,1013.41,879.39,965.68,995.72,1122.88,1322.02
"45","1110032F04Rik",400.48,94.77,164.17,149.72,153.79,141.36,152.09
"46","1110035H17Rik",3.18,0.83,4.18,3.96,5.61,2.67,4.68
"47","1110038B12Rik",220.9,155.46,121.29,130.71,141.44,164.03,133.37
"48","1110038F14Rik",361.54,299.28,287.55,297.07,260.44,290.72,315.88
"49","1110046J04Rik",56.42,30.76,31.37,30.1,33.68,32.01,50.31
"50","1110051M20Rik",1780.7,1792.37,2188.53,2283.09,2132.88,2084.39,2060.25
"51","1110057P08Rik",0,0,0,0,0,0,0
"52","1110059E24Rik",622.17,690.01,685.94,689.2,625.27,621.45,697.28
"53","1110059G10Rik",386.97,436.45,479.95,362.82,358.1,352.07,442.23
"54","1110060G06Rik",0,2.49,1.05,0.79,1.12,0,3.51
"55","1110065P20Rik",982.92,1020.06,779,897.55,773.45,813.49,961.68
"56","1190001M18Rik",3.18,0,2.09,1.58,3.37,0,0
"57","1190005I06Rik",32.58,33.25,27.19,27.73,23.57,21.34,24.57
"58","1190007I07Rik",151.77,130.52,123.39,113.28,125.73,134.69,114.65
"59","1190028D05Rik",0,0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0,0
"61","1300002E11Rik",166.07,169.59,148.48,114.87,127.97,170.7,177.83
"62","1300014J16Rik",7.15,13.3,0,0.79,5.61,4,3.51
"63","1300017J02Rik",7.15,4.16,2.09,1.58,0,5.33,1.17
"64","1500002C15Rik",50.06,40.74,48.1,57.04,37.04,49.34,35.1
"65","1500002F19Rik",11.92,4.16,4.18,11.88,7.86,8,10.53
"66","1500004A13Rik",1401.67,1254.5,1171.12,1324.54,1325.75,1292.24,1038.9
"67","1500005C15Rik",0,0,1.05,1.58,0,0,1.17
"68","1500009C09Rik",3508.95,3465.04,3376.38,3846.08,3469.85,3559.34,4194.2
"69","1500009L16Rik",363.13,405.7,425.58,434.12,348,414.74,380.23
"70","1500011B03Rik",2985.31,2862.31,2944.53,3323.23,3129.72,2945.89,3367.06
"71","1500012K07Rik",10.33,0.83,0,0.79,0,1.33,2.34
"72","1500015A07Rik",46.09,68.17,50.19,44.36,49.39,54.68,50.31
"73","1500015L24Rik",6.36,8.31,2.09,6.34,1.12,1.33,0
"74","1500026H17Rik",73.9,69,51.24,53.08,55.01,57.34,50.31
"75","1500032F14Rik",3.18,2.49,1.05,0,0,0,2.34
"76","1500035N22Rik",87.41,85.63,61.69,72.09,71.84,54.68,122.84
"77","1520401A03Rik",0.79,4.99,0,0,0,0,0
"78","1600002D24Rik",4.77,1.66,3.14,0,7.86,1.33,1.17
"79","1600010M07Rik",2.38,0.83,2.09,3.17,3.37,0,2.34
"80","1600012H06Rik",684.94,545.36,477.86,502.25,479.34,558.77,400.12
"81","1600012P17Rik",0,0,0,0,0,0,0
"82","1600014C10Rik",863.73,936.92,959.9,1019.55,959.79,1077.54,872.77
"83","1600014C23Rik",10.33,4.99,2.09,9.51,2.25,1.33,4.68
"84","1600017P15Rik",3.18,1.66,0,0.79,2.25,5.33,2.34
"85","1600019K03Rik",0,0,0,0,0,0,0
"86","1600020E01Rik",237.59,164.61,152.66,171.9,140.32,116.02,187.19
"87","1600022D10Rik",0,0.83,0,0,0,0,0
"88","1600023N17Rik",5.56,6.65,4.18,5.55,2.25,2.67,2.34
"89","1600025M17Rik",0,0,0,0,0,0,0
"90","1600027J07Rik",0,1.66,0,0,0,0,0
"91","1600029O15Rik",23.84,11.64,15.68,7.92,19.08,12,10.53
"92","1700001C19Rik",5.56,6.65,3.14,0.79,2.25,5.33,2.34
"93","1700001D01Rik",0,0,0,0,0,0,0
"94","1700001F09Rik",1.59,0.83,3.14,0,0,0,0
"95","1700001G01Rik",0,0,0,0,0,0,0
"96","1700001G11Rik",13.51,4.99,5.23,2.38,14.59,10.67,10.53
"97","1700001G17Rik",1.59,7.48,6.27,5.55,4.49,5.33,4.68
"98","1700001J03Rik",0,0,0,0,0,0,0
"99","1700001J04Rik",0,0.83,0,0,0,0,0
"100","1700001J11Rik",0,0,0,0,0,0,0
"101","1700001K19Rik",0,2.49,1.05,0,0,0,0
"102","1700001K23Rik",2.38,0,0,0,0,0,0
"103","1700001L05Rik",117.6,119.71,128.61,66.54,151.55,109.35,71.37
"104","1700001L19Rik",363.13,210.33,225.86,171.11,225.64,208.04,215.27
"105","1700001N15Rik",0,0,0,0,0,0,0
"106","1700001O22Rik",58.01,38.24,19.87,30.9,37.04,26.67,23.4
"107","1700001P01Rik",12.71,21.61,6.27,15.05,4.49,0,1.17
"108","1700003C15Rik",0,0,0,0,0,0,0
"109","1700003D09Rik",75.49,156.29,136.98,76.84,215.53,142.69,122.84
"110","1700003E16Rik",677.79,478.02,565.69,510.96,490.56,448.08,555.72
"111","1700003E24Rik",0,0,0,0,0,0,0
"112","1700003F12Rik",7.15,9.14,4.18,27.73,21.33,8,11.7
"113","1700003G18Rik",3.18,0,0,0,1.12,0,1.17
"114","1700003H04Rik",0,0,0,0,0,0,0
"115","1700003I16Rik",0,0.83,0,0,0,2.67,0
"116","1700003I22Rik",0,0,0,0,0,0,0
"117","1700003L19Rik",5.56,0.83,0,3.96,1.12,1.33,1.17
"118","1700003M07Rik",207.39,166.27,173.58,258.25,139.2,150.7,163.79
"119","1700003N22Rik",7.15,0.83,3.14,3.17,1.12,4,0
"120","1700003O11Rik",0,0,0,0,0,0,0
"121","1700003P14Rik",0,0,0,0,0,0,0
"122","1700006A11Rik",0,0,0,0,0,0,0
"123","1700006F04Rik",0,0,0,0,0,1.33,0
"124","1700006H21Rik",0,0,0,0,0,0,0
"125","1700006J14Rik",0,1.66,0,0.79,0,1.33,0
"126","1700006P03Rik",0,0,0,0,0,0,0
"127","1700007E05Rik",0,0,0,0,0,0,0
"128","1700007F19Rik",10.33,3.33,4.18,10.3,4.49,2.67,11.7
"129","1700007H22Rik",0,0,0,0,0,0,0
"130","1700007J10Rik",0,0,0,0,2.25,0,0
"131","1700007K13Rik",61.98,138,89.93,108.53,117.87,121.36,132.2
"132","1700007L15Rik",4.77,10.81,11.5,15.84,12.35,24,3.51
"133","1700007M16Rik",0,0,0,0,0,0,0
"134","1700007P06Rik",6.36,0,0,0,0,0,0
"135","1700008A23Rik",0,0.83,0,0.79,0,0,1.17
"136","1700008B11Rik",0,0,0,0,0,0,0
"137","1700008C04Rik",0,0,0,0,0,0,0
"138","1700008H02Rik",0,0,1.05,0,0,0,0
"139","1700008J07Rik",82.64,57.36,76.33,66.54,48.27,61.34,56.16
"140","1700008K24Rik",0,0,0,0,0,0,0
"141","1700008N11Rik",0,0,0,0,0,0,0
"142","1700008O03Rik",49.27,61.52,41.83,56.25,55.01,84.02,79.56
"143","1700008P02Rik",0,0,0,0,0,0,0
"144","1700009C05Rik",1.59,2.49,0,0.79,1.12,2.67,0
"145","1700009J07Rik",0.79,0,2.09,0,0,0,0
"146","1700009N14Rik",0,0,0,0,0,0,0
"147","1700010B08Rik",0,0,0,0.79,0,0,0
"148","1700010B13Rik",2.38,0,0,3.17,0,0,4.68
"149","1700010D01Rik",0,0,0,0,0,0,0
"150","1700010G06Rik",3.18,0,0,0,0,1.33,1.17
"151","1700010H22Rik",0,0,0,0,0,0,0
"152","1700010I02Rik",0,0,0,0,0,0,0
"153","1700010I14Rik",41.32,46.56,51.24,30.1,43.78,37.34,36.27
"154","1700010J16Rik",0,0,0,0,0,0,0
"155","1700010K23Rik",1.59,0,0,0,1.12,0,5.85
"156","1700010K24Rik",0.79,0.83,0,3.17,1.12,1.33,1.17
"157","1700010L04Rik",0,0,0,0,0,0,0
"158","1700010N08Rik",0,0,0,0,0,0,0
"159","1700011B04Rik",0,0,0,0,0,0,0
"160","1700011C11Rik",0,0,0,0,0,0,0
"161","1700011D18Rik",0.79,2.49,6.27,0,1.12,2.67,1.17
"162","1700011L03Rik",1.59,0,0,0,0,0,0
"163","1700011L22Rik",0,0.83,0,0,0,0,1.17
"164","1700011M02Rik",0,0,0,0,0,0,0
"165","1700012A03Rik",0,0,0,0,0,0,0
"166","1700012B07Rik",0,0,0,0,0,0,0
"167","1700012B09Rik",10.33,64.01,24.05,22.97,39.29,66.68,32.76
"168","1700012C08Rik",0,0,0,0,0,0,0
"169","1700012C14Rik",3.18,3.33,1.05,1.58,2.25,5.33,1.17
"170","1700012D14Rik",15.1,20.78,7.32,17.43,13.47,10.67,14.04
"171","1700012D16Rik",0,0,0,0,0,0,0
"172","1700012E03Rik",0,0,0,0,0,0,0
"173","1700012I11Rik",0,0,0,0,0,1.33,0
"174","1700012J15Rik",0,0,0,0,0,0,0
"175","1700012J22Rik",0,0,0,0,0,0,0
"176","1700012P22Rik",0,0,0,0,0,0,0
"177","1700013A02Rik",0,0,0,0,0,0,0
"178","1700013D24Rik",0,0,0,0,0,0,0
"179","1700013F07Rik",15.89,42.4,28.23,15.84,46.03,41.34,38.61
"180","1700013G24Rik",0,0,0,0,0,0,0
"181","1700013H16Rik",1.59,0.83,1.05,1.58,1.12,0,1.17
"182","1700013M08Rik",0,0,0,0,0,0,0
"183","1700013N06Rik",0,0,0,0,0,0,0
"184","1700014D04Rik",18.28,24.94,21.96,19.8,21.33,6.67,10.53
"185","1700014F14Rik",0,0,0,0,0,0,0
"186","1700014L14Rik",0,0,0,0,1.12,0,0
"187","1700015C15Rik",0,0,2.09,0,0,0,1.17
"188","1700015C17Rik",0,0.83,0,0,0,0,0
"189","1700015F17Rik",0.79,3.33,1.05,3.17,1.12,0,0
"190","1700015G11Rik",0,0,0,0,0,0,0
"191","1700015H07Rik",0,0,0,0,0,0,0
"192","1700015I17Rik",0,0,0,0,0,0,0
"193","1700015O11Rik",0,0,0,0,0,2.67,1.17
"194","1700016A09Rik",7.15,6.65,7.32,2.38,7.86,2.67,8.19
"195","1700016B01Rik",0,0,0,0,0,0,0
"196","1700016B15Rik",0,0,0,0,0,0,1.17
"197","1700016C15Rik",2.38,1.66,2.09,2.38,1.12,2.67,5.85
"198","1700016D06Rik",0.79,1.66,0,2.38,6.74,1.33,0
"199","1700016D08Rik",0,0,0,0,0,0,0
"200","1700016F12Rik",0,0,0,0,0,0,0
"201","1700016G22Rik",0,0,0,0,0,0,0
"202","1700016H03Rik",0,0,0,0,0,0,0
"203","1700016H13Rik",0.79,2.49,0,1.58,1.12,0,8.19
