"","gene","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",0,0.83,3.14,1.58,2.25,0,0,1.1,-0.01,-0.83,0.69086,NA
"2","0610006L08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"3","0610009B22Rik",475.17,455.58,459.04,471.35,423.21,517.43,532.32,476.3,0.02,0.08,0.54971,0.88239
"4","0610009E02Rik",19.86,24.11,6.27,24.56,15.72,22.67,24.57,19.7,0.01,0.15,0.77231,0.9508
"5","0610009L18Rik",48.47,44.06,36.6,40.4,49.39,44.01,46.8,44.2,0.01,0.14,0.62336,0.90927
"6","0610010F05Rik",1489.87,1378.37,1410.57,1490.9,1565.98,1478.94,1485.81,1471.5,0.02,0.07,0.45624,0.84215
"7","0610010K14Rik",20.66,5.82,13.59,15.05,7.86,10.67,14.04,12.5,-0.01,-0.35,0.56309,0.88802
"8","0610012D04Rik",0,1.66,0,0,1.12,0,0,0.4,0,-0.01,0.99794,NA
"9","0610012G03Rik",987.69,762.34,752.86,784.27,592.72,736.14,785.02,771.6,-0.05,-0.22,0.14985,0.61865
"10","0610025J13Rik",0,0.83,0,1.58,1.12,0,7.02,1.5,0.02,2.14,0.26408,NA
"11","0610030E20Rik",390.94,404.86,242.59,276.47,325.54,277.39,265.57,311.9,-0.03,-0.18,0.38638,0.81022
"12","0610031O16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","0610033M10Rik",0.79,0,0,0,0,1.33,0,0.3,0,0.73,0.84886,NA
"14","0610038B21Rik",7.95,10.81,7.32,11.09,3.37,1.33,15.21,8.2,-0.01,-0.48,0.55211,NA
"15","0610039K10Rik",0,0,2.09,0,2.25,1.33,1.17,1,0.01,1.82,0.39059,NA
"16","0610040B10Rik",54.03,39.9,57.51,41.99,50.52,54.68,63.18,51.7,0.02,0.22,0.4342,0.83388
"17","0610040F04Rik",12.71,18.29,10.46,18.22,19.08,22.67,16.38,16.8,0.02,0.36,0.42894,0.8314
"18","0610040J01Rik",356.77,307.6,244.68,225.77,222.27,206.71,292.48,265.2,-0.04,-0.24,0.26253,0.73508
"19","0610043K17Rik",0,0,0,1.58,1.12,0,7.02,1.4,0.02,2.69,0.22452,NA
"20","0710001A04Rik",0,0,0,1.58,0,0,0,0.2,0,-0.92,0.80855,NA
"21","1010001B22Rik",14.3,12.47,14.64,7.92,2.25,25.34,7.02,12,0,-0.11,0.87585,0.97754
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"23","1110002E22Rik",55.62,15.8,8.37,11.09,10.1,22.67,18.72,20.3,-0.01,-0.42,0.54752,0.8819
"24","1110002J07Rik",45.29,36.58,31.37,22.18,21.33,14.67,25.74,28.2,-0.06,-0.71,0.08531,0.50404
"25","1110002L01Rik",455.31,458.07,292.78,281.23,354.73,326.73,421.18,370,0,-0.02,0.93698,0.98902
"26","1110002O04Rik",7.15,0.83,3.14,1.58,2.25,1.33,4.68,3,0,-0.2,0.86454,NA
