"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",1.99,0,3.86,0,0.86,3.26,1.65,1.7,0,-0.46,0.78194,NA
"2","0610006L08Rik",0,3.58,3.86,0,0,0,0,1.1,-0.01,-3.91,0.14824,NA
"3","0610009B22Rik",481.39,478.74,438.57,491.02,473.24,477.25,490.65,475.8,0,0.05,0.66396,0.95791
"4","0610009E02Rik",6.95,22.68,14.15,20.53,25.04,6.52,25.56,17.3,0.01,0.43,0.48766,0.92816
"5","0610009L18Rik",47.64,31.04,39.87,50.09,45.77,38.05,42.06,42.1,0.01,0.15,0.62501,0.95234
"6","0610010F05Rik",1519.61,1455.31,1725.99,1539.58,1431.81,1466.54,1551.95,1527.3,-0.01,-0.06,0.55592,0.94126
"7","0610010K14Rik",1.99,19.1,9,21.35,6.05,14.13,15.67,12.5,0.01,0.53,0.48894,0.92859
"8","0610012D04Rik",0,0,0,0,1.73,0,0,0.2,0,1.09,0.7741,NA
"9","0610012G03Rik",862.53,913.3,908.01,1020.64,791.9,782.73,816.38,870.8,-0.01,-0.07,0.62778,0.95234
"10","0610025J13Rik",0,3.58,0,0,0.86,0,1.65,0.9,0,-0.89,0.73022,NA
"11","0610030E20Rik",377.17,322.34,270.09,403.99,420.56,252.21,287.79,333.5,0.01,0.08,0.7374,0.96691
"12","0610031O16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","0610033M10Rik",0,0,0,0.82,0,0,0,0.1,0,0.36,0.92584,NA
"14","0610038B21Rik",4.96,7.16,9,8.21,11.23,7.61,11.54,8.5,0.01,0.48,0.45826,NA
"15","0610039K10Rik",0,1.19,2.57,0,0,2.17,0,0.8,0,-1.37,0.60385,NA
"16","0610040B10Rik",54.59,71.63,47.59,55.84,41.45,59.79,43.71,53.5,-0.01,-0.21,0.47708,0.92451
"17","0610040F04Rik",14.89,22.68,7.72,13.14,19,10.87,18.97,15.3,0,0.04,0.94272,0.99424
"18","0610040J01Rik",194.54,290.11,253.37,368.68,319.52,254.39,235.02,273.7,0.02,0.26,0.2474,0.81963
"19","0610043K17Rik",5.96,3.58,1.29,0,0,0,1.65,1.8,-0.01,-3.05,0.09101,NA
"20","0710001A04Rik",0,0,0,0,0,0,1.65,0.2,0,1.05,0.78346,NA
"21","1010001B22Rik",22.83,14.33,5.14,14.78,12.95,15.22,8.25,13.4,0,-0.16,0.78837,0.97543
"22","1100001I12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"23","1110002E22Rik",41.69,20.3,137.62,57.48,16.41,8.7,11.54,42,-0.03,-1.49,0.04588,0.50959
"24","1110002J07Rik",38.71,28.65,36.01,46.8,38,32.61,23.09,34.8,0,0.03,0.94277,0.99424
"25","1110002L01Rik",470.47,333.09,325.39,470.49,475.83,304.4,292.74,381.8,0,0.04,0.88545,0.98965
"26","1110002O04Rik",11.91,2.39,7.72,7.39,0.86,3.26,1.65,5,-0.01,-1.16,0.25012,NA
"27","1110003F10Rik",0,1.19,0,1.64,0.86,1.09,0.82,0.8,0,1.42,0.48996,NA
"28","1110004F10Rik",2597.53,2718.42,2626.28,2648.89,2604.54,2646.07,2510.16,2621.7,0,-0.02,0.76841,0.97324
"29","1110006O24Rik",9.93,8.36,14.15,15.6,20.73,8.7,16.49,13.4,0.01,0.53,0.34208,0.88219
"30","1110008E08Rik",0,0,0,0,0,1.09,1.65,0.4,0,1.69,0.65457,NA
"31","1110008P14Rik",1362.78,1204.6,2657.14,1979.69,1044.93,1053.43,1135.51,1491.2,-0.03,-0.42,0.18466,0.76737
"32","1110012L19Rik",371.22,380.84,361.4,365.39,348.88,327.23,334.8,355.7,-0.01,-0.11,0.39135,0.89636
"33","1110013H19Rik",5.96,11.94,11.58,18.06,7.77,10.87,10.72,11,0.01,0.29,0.63494,0.95234
"34","1110015O18Rik",165.76,148.04,69.45,110.85,146.81,164.16,208.63,144.8,0.02,0.3,0.36741,0.88582
"35","1110017D15Rik",60.55,106.25,20.58,87.04,196.03,169.59,98.96,105.6,0.05,1.14,0.01775,0.35813
"36","1110018N20Rik",89.33,115.8,140.19,164.22,119.17,73.92,61.85,109.2,-0.01,-0.13,0.71872,0.96398
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","1110019D14Rik",36.72,50.14,38.58,61.58,62.18,48.92,37.11,47.9,0.02,0.33,0.30879,0.86465
"39","1110020A21Rik",15.88,7.16,20.58,15.6,19.86,10.87,20.62,15.8,0.01,0.21,0.69182,0.96257
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","1110025M09Rik",10.92,14.33,9,4.93,6.91,8.7,9.9,9.2,-0.01,-0.59,0.33385,0.87902
"42","1110028F11Rik",0,0,0,1.64,0.86,0,0,0.4,0,1.58,0.67618,NA
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
