"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"1","0610005C13Rik",1.99,0,3.86,0,0.86,3.26,1.65
"2","0610006L08Rik",0,3.58,3.86,0,0,0,0
"3","0610009B22Rik",481.39,478.74,438.57,491.02,473.24,477.25,490.65
"4","0610009E02Rik",6.95,22.68,14.15,20.53,25.04,6.52,25.56
"5","0610009L18Rik",47.64,31.04,39.87,50.09,45.77,38.05,42.06
"6","0610010F05Rik",1519.61,1455.31,1725.99,1539.58,1431.81,1466.54,1551.95
"7","0610010K14Rik",1.99,19.1,9,21.35,6.05,14.13,15.67
"8","0610012D04Rik",0,0,0,0,1.73,0,0
"9","0610012G03Rik",862.53,913.3,908.01,1020.64,791.9,782.73,816.38
"10","0610025J13Rik",0,3.58,0,0,0.86,0,1.65
"11","0610030E20Rik",377.17,322.34,270.09,403.99,420.56,252.21,287.79
"12","0610031O16Rik",0,0,0,0,0,0,0
"13","0610033M10Rik",0,0,0,0.82,0,0,0
"14","0610038B21Rik",4.96,7.16,9,8.21,11.23,7.61,11.54
"15","0610039K10Rik",0,1.19,2.57,0,0,2.17,0
"16","0610040B10Rik",54.59,71.63,47.59,55.84,41.45,59.79,43.71
"17","0610040F04Rik",14.89,22.68,7.72,13.14,19,10.87,18.97
"18","0610040J01Rik",194.54,290.11,253.37,368.68,319.52,254.39,235.02
"19","0610043K17Rik",5.96,3.58,1.29,0,0,0,1.65
"20","0710001A04Rik",0,0,0,0,0,0,1.65
"21","1010001B22Rik",22.83,14.33,5.14,14.78,12.95,15.22,8.25
"22","1100001I12Rik",0,0,0,0,0,0,0
"23","1110002E22Rik",41.69,20.3,137.62,57.48,16.41,8.7,11.54
"24","1110002J07Rik",38.71,28.65,36.01,46.8,38,32.61,23.09
"25","1110002L01Rik",470.47,333.09,325.39,470.49,475.83,304.4,292.74
"26","1110002O04Rik",11.91,2.39,7.72,7.39,0.86,3.26,1.65
"27","1110003F10Rik",0,1.19,0,1.64,0.86,1.09,0.82
"28","1110004F10Rik",2597.53,2718.42,2626.28,2648.89,2604.54,2646.07,2510.16
"29","1110006O24Rik",9.93,8.36,14.15,15.6,20.73,8.7,16.49
"30","1110008E08Rik",0,0,0,0,0,1.09,1.65
"31","1110008P14Rik",1362.78,1204.6,2657.14,1979.69,1044.93,1053.43,1135.51
"32","1110012L19Rik",371.22,380.84,361.4,365.39,348.88,327.23,334.8
"33","1110013H19Rik",5.96,11.94,11.58,18.06,7.77,10.87,10.72
"34","1110015O18Rik",165.76,148.04,69.45,110.85,146.81,164.16,208.63
"35","1110017D15Rik",60.55,106.25,20.58,87.04,196.03,169.59,98.96
"36","1110018N20Rik",89.33,115.8,140.19,164.22,119.17,73.92,61.85
"37","1110019B22Rik",0,0,0,0,0,0,0
"38","1110019D14Rik",36.72,50.14,38.58,61.58,62.18,48.92,37.11
"39","1110020A21Rik",15.88,7.16,20.58,15.6,19.86,10.87,20.62
"40","1110025L11Rik",0,0,0,0,0,0,0
"41","1110025M09Rik",10.92,14.33,9,4.93,6.91,8.7,9.9
"42","1110028F11Rik",0,0,0,1.64,0.86,0,0
"43","1110028F18Rik",0,0,0,0,0,0,0
"44","1110032A03Rik",769.23,898.98,986.46,1009.96,1052.7,914.28,1005.22
"45","1110032F04Rik",155.83,234,533.74,413.84,98.45,170.68,155.85
"46","1110035H17Rik",0.99,3.58,3.86,3.28,0.86,4.35,4.12
"47","1110038B12Rik",208.44,173.11,171.06,228.27,161.49,126.11,136.06
"48","1110038F14Rik",307.69,365.32,316.39,373.6,310.89,298.96,309.23
"49","1110046J04Rik",35.73,53.72,66.88,58.3,31.95,32.61,31.34
"50","1110051M20Rik",1965.27,2252.81,2082.24,1840.1,1861.87,2275.36,2376.57
"51","1110057P08Rik",0,0,0,0,0,0,0
"52","1110059E24Rik",662.04,801.08,648.21,642.93,716.77,713.16,717.42
"53","1110059G10Rik",614.39,524.1,383.27,399.88,453.38,498.99,377.68
"54","1110060G06Rik",0,1.19,3.86,0,2.59,1.09,0.82
