#GENE	STR-M-CRE2
0610005C13Rik	0
0610006L08Rik	3
0610009B22Rik	401
0610009E02Rik	19
0610009L18Rik	26
0610010F05Rik	1219
0610010K14Rik	16
0610012D04Rik	0
0610012G03Rik	765
0610025J13Rik	3
0610030E20Rik	270
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	6
0610039K10Rik	1
0610040B10Rik	60
0610040F04Rik	19
0610040J01Rik	243
0610043K17Rik	3
0710001A04Rik	0
1010001B22Rik	12
1100001I12Rik	0
1110002E22Rik	17
1110002J07Rik	24
1110002L01Rik	279
1110002O04Rik	2
1110003F10Rik	1
1110004F10Rik	2277
1110006O24Rik	7
1110008E08Rik	0
1110008P14Rik	1009
1110012L19Rik	319
1110013H19Rik	10
1110015O18Rik	124
1110017D15Rik	89
1110018N20Rik	97
1110019B22Rik	0
1110019D14Rik	42
1110020A21Rik	6
1110025L11Rik	0
1110025M09Rik	12
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	753
1110032F04Rik	196
1110035H17Rik	3
1110038B12Rik	145
1110038F14Rik	306
1110046J04Rik	45
1110051M20Rik	1887
1110057P08Rik	0
1110059E24Rik	671
1110059G10Rik	439
1110060G06Rik	1
1110065P20Rik	751
1190001M18Rik	0
1190005I06Rik	30
1190007I07Rik	106
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	116
1300014J16Rik	1
1300017J02Rik	3
1500002C15Rik	33
1500002F19Rik	12
1500004A13Rik	1160
1500005C15Rik	0
1500009C09Rik	3039
1500009L16Rik	386
1500011B03Rik	2609
1500012K07Rik	0
1500015A07Rik	57
1500015L24Rik	14
1500026H17Rik	32
1500032F14Rik	0
1500035N22Rik	45
1520401A03Rik	0
1600002D24Rik	4
1600010M07Rik	3
1600012H06Rik	441
1600012P17Rik	0
1600014C10Rik	836
1600014C23Rik	9
1600017P15Rik	0
1600019K03Rik	0
1600020E01Rik	144
1600022D10Rik	0
1600023N17Rik	2
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	12
1700001C19Rik	1
1700001D01Rik	0
1700001F09Rik	1
1700001G01Rik	0
1700001G11Rik	3
1700001G17Rik	6
1700001J03Rik	0
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001K23Rik	0
