#GENE	STR-M-DSVA3
0610005C13Rik	3
0610006L08Rik	0
0610009B22Rik	439
0610009E02Rik	6
0610009L18Rik	35
0610010F05Rik	1349
0610010K14Rik	13
0610012D04Rik	0
0610012G03Rik	720
0610025J13Rik	0
0610030E20Rik	232
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	7
0610039K10Rik	2
0610040B10Rik	55
0610040F04Rik	10
0610040J01Rik	234
0610043K17Rik	0
0710001A04Rik	0
1010001B22Rik	14
1100001I12Rik	0
1110002E22Rik	8
1110002J07Rik	30
1110002L01Rik	280
1110002O04Rik	3
1110003F10Rik	1
1110004F10Rik	2434
1110006O24Rik	8
1110008E08Rik	1
1110008P14Rik	969
1110012L19Rik	301
1110013H19Rik	10
1110015O18Rik	151
1110017D15Rik	156
1110018N20Rik	68
1110019B22Rik	0
1110019D14Rik	45
1110020A21Rik	10
1110025L11Rik	0
1110025M09Rik	8
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	841
1110032F04Rik	157
1110035H17Rik	4
1110038B12Rik	116
1110038F14Rik	275
1110046J04Rik	30
1110051M20Rik	2093
1110057P08Rik	0
1110059E24Rik	656
1110059G10Rik	459
1110060G06Rik	1
1110065P20Rik	745
1190001M18Rik	2
1190005I06Rik	26
1190007I07Rik	118
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	142
1300014J16Rik	0
1300017J02Rik	2
1500002C15Rik	46
1500002F19Rik	4
1500004A13Rik	1120
1500005C15Rik	1
1500009C09Rik	3229
1500009L16Rik	407
1500011B03Rik	2816
1500012K07Rik	0
1500015A07Rik	48
1500015L24Rik	2
1500026H17Rik	49
1500032F14Rik	1
1500035N22Rik	59
1520401A03Rik	0
1600002D24Rik	3
1600010M07Rik	2
1600012H06Rik	457
1600012P17Rik	0
1600014C10Rik	918
1600014C23Rik	2
1600017P15Rik	0
1600019K03Rik	0
1600020E01Rik	146
1600022D10Rik	0
1600023N17Rik	4
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	15
1700001C19Rik	3
1700001D01Rik	0
1700001F09Rik	3
1700001G01Rik	0
1700001G11Rik	5
1700001G17Rik	6
1700001J03Rik	0
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	1
1700001K23Rik	0
1700001L05Rik	123
1700001L19Rik	216
1700001N15Rik	0
1700001O22Rik	19
1700001P01Rik	6
1700003C15Rik	0
1700003D09Rik	131
1700003E16Rik	541
1700003E24Rik	0
1700003F12Rik	4
1700003G18Rik	0
1700003H04Rik	0
1700003I16Rik	0
1700003I22Rik	0
1700003L19Rik	0
1700003M07Rik	166
1700003N22Rik	3
1700003O11Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H21Rik	0
1700006J14Rik	0
1700006P03Rik	0
1700007E05Rik	0
1700007F19Rik	4
1700007H22Rik	0
1700007J10Rik	0
1700007K13Rik	86
1700007L15Rik	11
1700007M16Rik	0
1700007P06Rik	0
1700008A23Rik	0
1700008B11Rik	0
1700008C04Rik	0
1700008H02Rik	1
1700008J07Rik	73
1700008K24Rik	0
1700008N11Rik	0
1700008O03Rik	40
1700008P02Rik	0
1700009C05Rik	0
1700009J07Rik	2
1700009N14Rik	0
1700010B08Rik	0
1700010B13Rik	0
1700010D01Rik	0
1700010G06Rik	0
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	49
1700010J16Rik	0
1700010K23Rik	0
1700010K24Rik	0
1700010L04Rik	0
1700010N08Rik	0
1700011B04Rik	0
1700011C11Rik	0
1700011D18Rik	6
1700011L03Rik	0
1700011L22Rik	0
1700011M02Rik	0
1700012A03Rik	0
1700012B07Rik	0
1700012B09Rik	23
1700012C08Rik	0
1700012C14Rik	1
1700012D14Rik	7
1700012D16Rik	0
1700012E03Rik	0
1700012I11Rik	0
1700012J15Rik	0
1700012J22Rik	0
1700012P22Rik	0
1700013A02Rik	0
1700013D24Rik	0
1700013F07Rik	27
1700013G24Rik	0
1700013H16Rik	1
1700013M08Rik	0
1700013N06Rik	0
1700014D04Rik	21
1700014F14Rik	0
1700014L14Rik	0
1700015C15Rik	2
1700015C17Rik	0
1700015F17Rik	1
1700015G11Rik	0
1700015H07Rik	0
