"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3"
"1","0610005C13Rik",1.01,2.42,0.87,1.67,0,3.21
"2","0610006L08Rik",0,0,0,0,3.03,3.21
"3","0610009B22Rik",374.12,355.92,563.73,406.1,405.62,365.15
"4","0610009E02Rik",14.08,16.95,27.05,5.86,19.22,11.78
"5","0610009L18Rik",45.26,38.74,59.34,40.19,26.3,33.2
"6","0610010F05Rik",1226.94,1007.24,1685.09,1281.95,1233.03,1437.05
"7","0610010K14Rik",10.06,14.53,18.33,1.67,16.18,7.5
"8","0610012D04Rik",0,0,0.87,0,0,0
"9","0610012G03Rik",818.63,1228.79,840.36,727.64,773.81,756
"10","0610025J13Rik",0,1.21,0,0,3.03,0
"11","0610030E20Rik",255.45,207.02,363.02,318.18,273.11,224.87
"12","0610031O16Rik",0,0,0,0,0,0
"13","0610033M10Rik",0,0,0,0,0,0
"14","0610038B21Rik",4.02,1.21,9.6,4.19,6.07,7.5
"15","0610039K10Rik",1.01,1.21,0.87,0,1.01,2.14
"16","0610040B10Rik",32.18,67.8,73.3,46.05,60.69,39.62
"17","0610040F04Rik",13.07,14.53,14.84,12.56,19.22,6.42
"18","0610040J01Rik",271.54,433.4,251.32,164.12,245.8,210.95
"19","0610043K17Rik",2.01,0,2.62,5.02,3.03,1.07
"20","0710001A04Rik",0,0,0,0,0,0
"21","1010001B22Rik",6.03,9.69,14.84,19.26,12.14,4.28
"22","1100001I12Rik",0,0,0,0,0,0
"23","1110002E22Rik",120.68,61.74,61.09,35.17,17.2,114.58
"24","1110002J07Rik",29.17,44.79,9.6,32.66,24.28,29.98
"25","1110002L01Rik",302.71,274.81,407.53,396.89,282.21,270.92
"26","1110002O04Rik",4.02,2.42,6.98,10.05,2.02,6.42
"27","1110003F10Rik",3.02,0,13.09,0,1.01,0
"28","1110004F10Rik",2032.5,2167.02,2778.53,2191.29,2303.21,2186.62
"29","1110006O24Rik",11.06,15.74,9.6,8.37,7.08,11.78
"30","1110008E08Rik",0,0,0,0,0,0
"31","1110008P14Rik",3740.16,6947.79,4418.24,1149.65,1020.61,2212.32
"32","1110012L19Rik",279.58,295.39,331.61,313.16,322.67,300.9
"33","1110013H19Rik",3.02,16.95,15.71,5.02,10.12,9.64
"34","1110015O18Rik",22.13,39.95,61.09,139.83,125.43,57.82
"35","1110017D15Rik",27.15,36.32,41.89,51.08,90.02,17.13
"36","1110018N20Rik",106.6,136.8,274.01,75.36,98.12,116.72
"37","1110019B22Rik",0,0,0,0,0,0
"38","1110019D14Rik",39.22,71.43,72.43,30.98,42.48,32.12
"39","1110020A21Rik",20.11,16.95,24.43,13.4,6.07,17.13
"40","1110025L11Rik",0,0,0,0,0,0
"41","1110025M09Rik",15.09,14.53,17.45,9.21,12.14,7.5
"42","1110028F11Rik",0,0,1.75,0,0,0
"43","1110028F18Rik",0,0,0,0,0,0
"44","1110032A03Rik",769.35,1119.83,950.32,648.93,761.67,821.32
"45","1110032F04Rik",427.42,337.77,391.82,131.46,198.26,444.39
"46","1110035H17Rik",1.01,1.21,5.24,0.84,3.03,3.21
"47","1110038B12Rik",158.9,127.12,242.6,175.84,146.67,142.42
"48","1110038F14Rik",280.59,297.81,376.11,259.57,309.52,263.42
"49","1110046J04Rik",77.44,102.9,115.19,30.14,45.52,55.68
"50","1110051M20Rik",1461.27,1306.27,1665.02,1657.91,1908.72,1733.67
"51","1110057P08Rik",0,0,0,0,0,0
"52","1110059E24Rik",503.85,533.89,812.44,558.5,678.72,539.7
"53","1110059G10Rik",307.74,294.18,562.86,518.31,444.05,319.11
"54","1110060G06Rik",2.01,0,0.87,0,1.01,3.21
"55","1110065P20Rik",896.07,1374.06,1151.9,670.7,759.64,758.14
"56","1190001M18Rik",0,0,0,0,0,1.07
"57","1190005I06Rik",23.13,52.06,27.05,16.75,30.35,23.56
"58","1190007I07Rik",104.59,128.33,150.1,108.85,107.22,92.09
"59","1190028D05Rik",0,0,0,0,0,0
"60","1200007C13Rik",0,0,0,0,0,0
"61","1300002E11Rik",87.5,62.95,116.94,121.41,117.34,84.6
"62","1300014J16Rik",0,1.21,5.24,0.84,1.01,5.35
"63","1300017J02Rik",4.02,1.21,0,0,3.03,0
"64","1500002C15Rik",26.15,26.63,48,15.91,33.38,20.35
"65","1500002F19Rik",6.03,21.79,15.71,10.05,12.14,7.5
"66","1500004A13Rik",1332.54,1345.01,1566.41,1103.6,1173.35,1508.79
"67","1500005C15Rik",2.01,0,4.36,0,0,2.14
"68","1500009C09Rik",3248.38,4594.33,3221.83,2642.61,3073.98,3113.96
"69","1500009L16Rik",220.25,231.23,433.71,319.86,390.44,289.12
"70","1500011B03Rik",2095.86,2445.47,2250.57,2216.41,2639.03,2400.79
"71","1500012K07Rik",5.03,6.05,10.47,1.67,0,0
"72","1500015A07Rik",34.19,29.06,58.47,43.54,57.66,42.83
"73","1500015L24Rik",3.02,3.63,14.84,0,14.16,4.28
"74","1500026H17Rik",60.34,53.27,128.28,67.82,32.37,50.33
"75","1500032F14Rik",1.01,0,4.36,0,0,0
"76","1500035N22Rik",31.18,50.85,66.32,78.71,45.52,39.62
"77","1520401A03Rik",3.02,1.21,2.62,0,0,0
"78","1600002D24Rik",0,0,2.62,0.84,4.05,1.07
"79","1600010M07Rik",2.01,1.21,0,1.67,3.03,3.21
"80","1600012H06Rik",473.68,382.56,486.07,502.4,446.08,435.83
"81","1600012P17Rik",0,0,0,0,0,0
"82","1600014C10Rik",836.73,759.06,764.44,807.18,845.62,806.33
"83","1600014C23Rik",4.02,0,5.24,0.84,9.1,4.28
"84","1600017P15Rik",6.03,2.42,0,0,0,0
"85","1600019K03Rik",0,0,0,0,0,0
"86","1600020E01Rik",91.52,182.8,223.4,152.39,145.66,115.65
"87","1600022D10Rik",0,0,0.87,0,0,4.28
"88","1600023N17Rik",7.04,0,3.49,0.84,2.02,6.42
"89","1600025M17Rik",0,0,0,0,0,0
"90","1600027J07Rik",2.01,0,0,0,0,0
"91","1600029O15Rik",50.28,8.47,22.69,10.05,12.14,22.49
"92","1700001C19Rik",3.02,2.42,3.49,0,1.01,4.28
"93","1700001D01Rik",0,0,0,0,0,0
"94","1700001F09Rik",0,0,0,0,1.01,0
"95","1700001G01Rik",0,0,0,0,0,0
"96","1700001G11Rik",4.02,4.84,6.98,8.37,3.03,3.21
"97","1700001G17Rik",1.01,2.42,1.75,5.86,6.07,0
"98","1700001J03Rik",0,1.21,0,4.19,0,0
"99","1700001J04Rik",0,0,0,0,0,0
"100","1700001J11Rik",0,0,0,0,0,0
"101","1700001K19Rik",0,0,0,0,0,0
"102","1700001K23Rik",0,0,0.87,0,0,0
"103","1700001L05Rik",97.55,123.48,157.08,54.43,53.61,115.65
"104","1700001L19Rik",194.1,245.76,441.56,129.79,157.8,457.24
"105","1700001N15Rik",0,0,0,0,0,0
"106","1700001O22Rik",55.31,115.01,78.54,56.94,34.39,32.12
"107","1700001P01Rik",14.08,4.84,16.58,15.07,9.1,12.85
"108","1700003C15Rik",0,0,0,0,0,0
"109","1700003D09Rik",5.03,3.63,23.56,248.69,152.74,51.4
"110","1700003E16Rik",673.81,975.77,750.48,417.83,462.26,732.44
"111","1700003E24Rik",0,0,0,0,0,0
"112","1700003F12Rik",6.03,6.05,15.71,4.19,5.06,5.35
"113","1700003G18Rik",0,0,0,0,0,0
"114","1700003H04Rik",0,0,0,0,0,0
"115","1700003I16Rik",0,0,0,0,2.02,0
"116","1700003I22Rik",0,0,0,0,0,0
"117","1700003L19Rik",3.02,4.84,0,0,3.03,2.14
"118","1700003M07Rik",179.01,277.23,273.14,139,140.6,158.48
"119","1700003N22Rik",4.02,3.63,6.98,5.86,1.01,11.78
"120","1700003O11Rik",0,0,0,0,0,0
"121","1700003P14Rik",0,0,0,0,0,0
"122","1700006A11Rik",0,0,0,0,0,0
"123","1700006F04Rik",0,0,0,0,0,0
"124","1700006H21Rik",0,0,0,0,0,0
"125","1700006J14Rik",1.01,2.42,0,0,0,0
"126","1700006P03Rik",0,0,0,0,0,0
"127","1700007E05Rik",0,0,0,0,0,0
"128","1700007F19Rik",1.01,3.63,5.24,1.67,11.13,1.07
"129","1700007H22Rik",0,0,0,0,0,0
"130","1700007J10Rik",1.01,0,0,0.84,0,0
"131","1700007K13Rik",52.3,77.48,52.36,41.87,83.96,51.4
"132","1700007L15Rik",10.06,12.11,12.22,5.02,16.18,3.21
"133","1700007M16Rik",0,0,0,0,0,0
"134","1700007P06Rik",12.07,23,36.65,0,2.02,6.42
"135","1700008A23Rik",0,0,0,0,0,0
"136","1700008B11Rik",0,0,0,0,0,0
"137","1700008C04Rik",0,0,0,0,0,0
"138","1700008H02Rik",0,0,0,0,0,0
"139","1700008J07Rik",50.28,77.48,46.25,46.89,47.54,54.61
"140","1700008K24Rik",0,0,0,0,0,0
"141","1700008N11Rik",0,0,0,0,0,0
"142","1700008O03Rik",60.34,71.43,27.92,48.57,45.52,43.9
"143","1700008P02Rik",0,0,0,0,0,0
"144","1700009C05Rik",3.02,0,0,8.37,1.01,4.28
"145","1700009J07Rik",0,0,0.87,0,0,0
"146","1700009N14Rik",0,0,0,0,0,0
"147","1700010B08Rik",0,0,0,0,0,0
"148","1700010B13Rik",1.01,0,0,5.02,0,0
"149","1700010D01Rik",0,0,0,0,0,0
"150","1700010G06Rik",3.02,0,0.87,0,0,1.07
"151","1700010H22Rik",0,0,0,0,0,0
"152","1700010I02Rik",0,0,0,0,0,0
"153","1700010I14Rik",9.05,12.11,15.71,22.61,38.44,21.42
"154","1700010J16Rik",0,0,0,0,0,2.14
"155","1700010K23Rik",2.01,0,0,0.84,1.01,1.07
"156","1700010K24Rik",0,0,4.36,0,0,0
"157","1700010L04Rik",0,0,0,0,0,0
"158","1700010N08Rik",0,0,0,0,0,0
"159","1700011B04Rik",0,0,0,0,0,0
"160","1700011C11Rik",0,0,0,0,0,0
"161","1700011D18Rik",1.01,1.21,0.87,0,0,1.07
"162","1700011L03Rik",0,0,0,0,0,0
"163","1700011L22Rik",0,0,0,0,2.02,0
"164","1700011M02Rik",0,0,0,0,0,0
"165","1700012A03Rik",0,0,0,0,0,0
"166","1700012B07Rik",0,0,0,0,0,0
"167","1700012B09Rik",3.02,2.42,0,0,23.26,0
"168","1700012C08Rik",0,0,0,0,0,0
"169","1700012C14Rik",1.01,1.21,1.75,2.51,4.05,0
"170","1700012D14Rik",7.04,7.26,25.31,1.67,23.26,9.64
"171","1700012D16Rik",0,0,0,0,0,0
"172","1700012E03Rik",0,0,1.75,0,0,0
"173","1700012I11Rik",0,0,0,0,0,0
"174","1700012J15Rik",0,0,0,0,0,0
"175","1700012J22Rik",0,0,0,0,0,0
"176","1700012P22Rik",0,1.21,0,0,0,0
"177","1700013A02Rik",0,0,0,0,0,0
"178","1700013D24Rik",0,0,0,0,0,0
"179","1700013F07Rik",10.06,0,9.6,25.12,13.15,13.92
"180","1700013G24Rik",0,0,0,0,0,0
"181","1700013H16Rik",0,1.21,1.75,0,2.02,0
"182","1700013M08Rik",0,0,0,0.84,0,0
