#GENE	STR-M-CRE3
0610005C13Rik	3
0610006L08Rik	3
0610009B22Rik	341
0610009E02Rik	11
0610009L18Rik	31
0610010F05Rik	1342
0610010K14Rik	7
0610012D04Rik	0
0610012G03Rik	706
0610025J13Rik	0
0610030E20Rik	210
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	7
0610039K10Rik	2
0610040B10Rik	37
0610040F04Rik	6
0610040J01Rik	197
0610043K17Rik	1
0710001A04Rik	0
1010001B22Rik	4
1100001I12Rik	0
1110002E22Rik	107
1110002J07Rik	28
1110002L01Rik	253
1110002O04Rik	6
1110003F10Rik	0
1110004F10Rik	2042
1110006O24Rik	11
1110008E08Rik	0
1110008P14Rik	2066
1110012L19Rik	281
1110013H19Rik	9
1110015O18Rik	54
1110017D15Rik	16
1110018N20Rik	109
1110019B22Rik	0
1110019D14Rik	30
1110020A21Rik	16
1110025L11Rik	0
1110025M09Rik	7
1110028F11Rik	0
1110028F18Rik	0
1110032A03Rik	767
1110032F04Rik	415
1110035H17Rik	3
1110038B12Rik	133
1110038F14Rik	246
1110046J04Rik	52
1110051M20Rik	1619
1110057P08Rik	0
1110059E24Rik	504
1110059G10Rik	298
1110060G06Rik	3
1110065P20Rik	708
1190001M18Rik	1
1190005I06Rik	22
1190007I07Rik	86
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	79
1300014J16Rik	5
1300017J02Rik	0
1500002C15Rik	19
1500002F19Rik	7
1500004A13Rik	1409
1500005C15Rik	2
1500009C09Rik	2908
1500009L16Rik	270
1500011B03Rik	2242
1500012K07Rik	0
1500015A07Rik	40
1500015L24Rik	4
1500026H17Rik	47
1500032F14Rik	0
1500035N22Rik	37
1520401A03Rik	0
1600002D24Rik	1
1600010M07Rik	3
1600012H06Rik	407
1600012P17Rik	0
1600014C10Rik	753
1600014C23Rik	4
1600017P15Rik	0
1600019K03Rik	0
1600020E01Rik	108
1600022D10Rik	4
1600023N17Rik	6
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	21
1700001C19Rik	4
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	0
1700001G11Rik	3
1700001G17Rik	0
1700001J03Rik	0
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001K23Rik	0
1700001L05Rik	108
1700001L19Rik	427
1700001N15Rik	0
1700001O22Rik	30
1700001P01Rik	12
1700003C15Rik	0
1700003D09Rik	48
1700003E16Rik	684
1700003E24Rik	0
1700003F12Rik	5
1700003G18Rik	0
1700003H04Rik	0
1700003I16Rik	0
1700003I22Rik	0
1700003L19Rik	2
1700003M07Rik	148
1700003N22Rik	11
1700003O11Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H21Rik	0
1700006J14Rik	0
1700006P03Rik	0
1700007E05Rik	0
1700007F19Rik	1
1700007H22Rik	0
1700007J10Rik	0
1700007K13Rik	48
1700007L15Rik	3
1700007M16Rik	0
1700007P06Rik	6
1700008A23Rik	0
1700008B11Rik	0
1700008C04Rik	0
1700008H02Rik	0
1700008J07Rik	51
1700008K24Rik	0
1700008N11Rik	0
1700008O03Rik	41
1700008P02Rik	0
1700009C05Rik	4
1700009J07Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010B13Rik	0
1700010D01Rik	0
1700010G06Rik	1
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	20
1700010J16Rik	2
1700010K23Rik	1
1700010K24Rik	0
1700010L04Rik	0
1700010N08Rik	0
1700011B04Rik	0
1700011C11Rik	0
1700011D18Rik	1
1700011L03Rik	0
1700011L22Rik	0
1700011M02Rik	0
1700012A03Rik	0
