#GENE	CTX-M-CRE3
0610005C13Rik	1
0610006L08Rik	0
0610009B22Rik	646
0610009E02Rik	31
0610009L18Rik	68
0610010F05Rik	1931
0610010K14Rik	21
0610012D04Rik	1
0610012G03Rik	963
0610025J13Rik	0
0610030E20Rik	416
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	11
0610039K10Rik	1
0610040B10Rik	84
0610040F04Rik	17
0610040J01Rik	288
0610043K17Rik	3
0710001A04Rik	0
1010001B22Rik	17
1100001I12Rik	0
1110002E22Rik	70
1110002J07Rik	11
1110002L01Rik	467
1110002O04Rik	8
1110003F10Rik	15
1110004F10Rik	3184
1110006O24Rik	11
1110008E08Rik	0
1110008P14Rik	5063
1110012L19Rik	380
1110013H19Rik	18
1110015O18Rik	70
1110017D15Rik	48
1110018N20Rik	314
1110019B22Rik	0
1110019D14Rik	83
1110020A21Rik	28
1110025L11Rik	0
1110025M09Rik	20
1110028F11Rik	2
1110028F18Rik	0
1110032A03Rik	1089
1110032F04Rik	449
1110035H17Rik	6
1110038B12Rik	278
1110038F14Rik	431
1110046J04Rik	132
1110051M20Rik	1908
1110057P08Rik	0
1110059E24Rik	931
1110059G10Rik	645
1110060G06Rik	1
1110065P20Rik	1320
1190001M18Rik	0
1190005I06Rik	31
1190007I07Rik	172
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	134
1300014J16Rik	6
1300017J02Rik	0
1500002C15Rik	55
1500002F19Rik	18
1500004A13Rik	1795
1500005C15Rik	5
1500009C09Rik	3692
1500009L16Rik	497
1500011B03Rik	2579
1500012K07Rik	12
1500015A07Rik	67
1500015L24Rik	17
1500026H17Rik	147
1500032F14Rik	5
1500035N22Rik	76
1520401A03Rik	3
1600002D24Rik	3
1600010M07Rik	0
1600012H06Rik	557
1600012P17Rik	0
1600014C10Rik	876
1600014C23Rik	6
1600017P15Rik	0
1600019K03Rik	0
1600020E01Rik	256
1600022D10Rik	1
1600023N17Rik	4
1600025M17Rik	0
1600027J07Rik	0
1600029O15Rik	26
1700001C19Rik	4
