"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",1.78,1.07,1.34,2.62,0,0.7,2.68,1.35,1.4,-0.1,-0.56,0.68625,0.78676
"2","0610006L08Rik",0,2.14,0,0,0,0,0,0,0.3,-0.1,-2.21,0.53165,NA
"3","0610009B22Rik",662.87,635.31,528.27,548.35,401.48,385.08,392.76,402.15,494.5,-0.56,-0.58,1.33877577451801e-07,9.87784432996032e-07
"4","0610009E02Rik",48.11,28.93,50.82,24.93,16.78,20.38,5.37,20.95,27,-0.86,-1.24,0.00418,0.01201
"5","0610009L18Rik",65.93,73.92,49.48,72.15,40.95,37.24,31.31,34.47,50.7,-0.73,-0.86,0.00057,0.00205
"6","0610010F05Rik",1676.78,1682.03,1461.76,1580.78,1258.83,1165.07,1206.89,1272.01,1413,-0.37,-0.38,6.38491038933297e-06,3e-05
"7","0610010K14Rik",24.95,36.43,26.75,24.93,17.46,4.92,11.63,12.84,20,-0.89,-1.28,0.00328,0.00971
"8","0610012D04Rik",0,0,0,0,0,1.41,0,0,0.2,0.03,0.57,0.87232,NA
"9","0610012G03Rik",1006.78,1113.14,826.5,939.28,834.52,644.37,644.15,669.12,834.7,-0.45,-0.48,0.00028,0.00109
"10","0610025J13Rik",8.91,1.07,0,0,0,0.7,0,1.35,1.5,-0.29,-2.18,0.24692,0.37143
"11","0610030E20Rik",409.84,369.62,378.48,392.24,330.32,342.21,207.56,235.88,333.3,-0.43,-0.47,0.00643,0.01754
"12","0610031O16Rik",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13","0610033M10Rik",0,3.21,0,1.31,0.67,0,0,0,0.6,-0.21,-2.4,0.32747,NA
"14","0610038B21Rik",0,10.71,8.02,9.18,6.71,9.14,6.26,9.46,7.4,0.05,0.12,0.85214,0.90677
