"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"1","0610005C13Rik",1.78,1.07,1.34,2.62,0,0.7,2.68,1.35
"2","0610006L08Rik",0,2.14,0,0,0,0,0,0
"3","0610009B22Rik",662.87,635.31,528.27,548.35,401.48,385.08,392.76,402.15
"4","0610009E02Rik",48.11,28.93,50.82,24.93,16.78,20.38,5.37,20.95
"5","0610009L18Rik",65.93,73.92,49.48,72.15,40.95,37.24,31.31,34.47
"6","0610010F05Rik",1676.78,1682.03,1461.76,1580.78,1258.83,1165.07,1206.89,1272.01
"7","0610010K14Rik",24.95,36.43,26.75,24.93,17.46,4.92,11.63,12.84
"8","0610012D04Rik",0,0,0,0,0,1.41,0,0
"9","0610012G03Rik",1006.78,1113.14,826.5,939.28,834.52,644.37,644.15,669.12
"10","0610025J13Rik",8.91,1.07,0,0,0,0.7,0,1.35
"11","0610030E20Rik",409.84,369.62,378.48,392.24,330.32,342.21,207.56,235.88
"12","0610031O16Rik",0,0,0,0,0,0,0,0
"13","0610033M10Rik",0,3.21,0,1.31,0.67,0,0,0
"14","0610038B21Rik",0,10.71,8.02,9.18,6.71,9.14,6.26,9.46
"15","0610039K10Rik",0,1.07,1.34,1.31,0,0,1.79,0
"16","0610040B10Rik",108.7,89.99,72.22,86.58,45.65,33.73,49.21,35.82
"17","0610040F04Rik",19.6,18.21,21.4,11.81,10.74,15.46,8.95,15.55
"18","0610040J01Rik",302.92,288.19,334.35,313.53,301.45,260,209.35,192.63
"19","0610043K17Rik",3.56,4.29,1.34,6.56,0,0,0,1.35
"20","0710001A04Rik",0,0,0,0,0,0,0,1.35
"21","1010001B22Rik",12.47,4.29,13.37,6.56,12.08,10.54,12.53,6.76
"22","1100001I12Rik",0,0,0,0,0,0,0,0
"23","1110002E22Rik",126.52,104.99,149.79,101.01,47,13.35,7.16,9.46
"24","1110002J07Rik",44.55,39.64,41.46,49.85,38.27,30.92,26.84,18.92
"25","1110002L01Rik",612.98,457.47,446.68,446.03,384.7,387.18,250.5,239.94
"26","1110002O04Rik",1.78,4.29,20.06,7.87,6.04,0.7,2.68,1.35
"27","1110003F10Rik",5.35,4.29,9.36,7.87,1.34,0.7,0.89,0.68
"28","1110004F10Rik",3023.9,2729.81,2522.3,2119.95,2165.85,2119.32,2177.6,2057.38
"29","1110006O24Rik",12.47,15,10.7,22.3,12.76,16.86,7.16,13.52
"30","1110008E08Rik",1.78,0,0,0,0,0,0.89,1.35
"31","1110008P14Rik",4704.24,4694.67,4268.92,4407.81,1618.68,850.26,866.92,930.69
"32","1110012L19Rik",359.95,400.69,334.35,282.05,298.76,283.89,269.29,274.41
"33","1110013H19Rik",3.56,6.43,13.37,22.3,14.77,6.32,8.95,8.79
"34","1110015O18Rik",44.55,77.14,34.77,55.1,90.64,119.46,135.09,171
"35","1110017D15Rik",39.2,46.07,40.12,45.91,71.17,159.51,139.57,81.11
"36","1110018N20Rik",356.38,230.34,251.43,276.8,134.27,96.97,60.84,50.69
"37","1110019B22Rik",0,0,0,0,0,0,0,0
"38","1110019D14Rik",87.31,69.64,62.86,74.78,50.35,50.59,40.26,30.41
"39","1110020A21Rik",17.82,20.36,29.42,39.36,12.76,16.16,8.95,16.9
"40","1110025L11Rik",0,0,0,0,0,0,0,0
"41","1110025M09Rik",12.47,13.93,22.74,5.25,4.03,5.62,7.16,8.11
"42","1110028F11Rik",0,0,0,0,1.34,0.7,0,0
"43","1110028F18Rik",0,0,0,0,0,0,0,0
"44","1110032A03Rik",1076.27,1000.64,964.25,1027.18,825.79,856.58,752.41,823.9
"45","1110032F04Rik",625.45,578.53,480.12,501.13,338.37,80.11,140.46,127.74
"46","1110035H17Rik",1.78,2.14,2.67,3.94,2.69,0.7,3.58,3.38
"47","1110038B12Rik",318.96,293.55,255.44,329.27,186.64,131.4,103.78,111.52
"48","1110038F14Rik",381.33,333.19,314.28,305.66,305.48,252.97,246.03,253.45
"49","1110046J04Rik",196.01,145.7,125.71,149.55,47.67,26,26.84,25.68
"50","1110051M20Rik",1518.19,1560.96,1340.05,1309.22,1504.55,1515.01,1872.52,1947.89
"51","1110057P08Rik",0,0,0,0,0,0,0,0
"52","1110059E24Rik",967.58,902.08,786.38,843.52,525.69,583.24,586.9,588.02
"53","1110059G10Rik",607.63,569.96,478.78,469.64,326.96,368.91,410.65,309.55
