#GENE	STR-M-DSVA2
0610005C13Rik	1
0610006L08Rik	0
0610009B22Rik	548
0610009E02Rik	29
0610009L18Rik	53
0610010F05Rik	1658
0610010K14Rik	7
0610012D04Rik	2
0610012G03Rik	917
0610025J13Rik	1
0610030E20Rik	487
0610031O16Rik	0
0610033M10Rik	0
0610038B21Rik	13
0610039K10Rik	0
0610040B10Rik	48
0610040F04Rik	22
0610040J01Rik	370
0610043K17Rik	0
0710001A04Rik	0
1010001B22Rik	15
1100001I12Rik	0
1110002E22Rik	19
1110002J07Rik	44
1110002L01Rik	551
1110002O04Rik	1
1110003F10Rik	1
1110004F10Rik	3016
1110006O24Rik	24
1110008E08Rik	0
1110008P14Rik	1210
1110012L19Rik	404
1110013H19Rik	9
1110015O18Rik	170
1110017D15Rik	227
1110018N20Rik	138
1110019B22Rik	0
1110019D14Rik	72
1110020A21Rik	23
1110025L11Rik	0
1110025M09Rik	8
1110028F11Rik	1
1110028F18Rik	0
1110032A03Rik	1219
1110032F04Rik	114
1110035H17Rik	1
1110038B12Rik	187
1110038F14Rik	360
1110046J04Rik	37
1110051M20Rik	2156
1110057P08Rik	0
1110059E24Rik	830
1110059G10Rik	525
1110060G06Rik	3
1110065P20Rik	1227
1190001M18Rik	0
1190005I06Rik	40
1190007I07Rik	157
1190028D05Rik	0
1200007C13Rik	0
1300002E11Rik	204
1300014J16Rik	16
1300017J02Rik	5
1500002C15Rik	49
1500002F19Rik	5
1500004A13Rik	1509
1500005C15Rik	0
1500009C09Rik	4168
1500009L16Rik	488
1500011B03Rik	3443
1500012K07Rik	1
1500015A07Rik	82
1500015L24Rik	10
1500026H17Rik	83
1500032F14Rik	3
1500035N22Rik	103
1520401A03Rik	6
1600002D24Rik	2
1600010M07Rik	1
1600012H06Rik	656
1600012P17Rik	0
1600014C10Rik	1127
1600014C23Rik	6
1600017P15Rik	2
1600019K03Rik	0
1600020E01Rik	198
1600022D10Rik	1
1600023N17Rik	8
1600025M17Rik	0
1600027J07Rik	2
1600029O15Rik	14
1700001C19Rik	8
