"","gene","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"1","0610005C13Rik",0,0.84,0,1.99,0,0,0.5,0.03,1.01,0.78797,NA
"2","0610006L08Rik",0,0.84,0,0,0,0,0.1,-0.02,-0.77,0.85066,NA
"3","0610009B22Rik",338.29,395.97,398.69,374.35,456.35,469.29,405.5,0.14,0.2,0.19648,0.37554
"4","0610009E02Rik",11.87,25.06,12.67,13.9,19.99,21.66,17.5,0.04,0.15,0.78954,0.89337
"5","0610009L18Rik",24.73,33.41,25.34,43.69,38.81,41.26,34.5,0.25,0.56,0.13891,0.29278
"6","0610010F05Rik",1548.04,1631.48,1464.14,1385.19,1304.36,1309.88,1440.5,-0.19,-0.22,0.02741,0.08325
"7","0610010K14Rik",8.9,14.2,16.57,6.95,9.41,12.38,11.4,-0.12,-0.47,0.48341,0.67402
"8","0610012D04Rik",0,0,0,0.99,0,0,0.2,0.03,1.16,0.77708,NA
"9","0610012G03Rik",896.18,735.13,897.79,524.29,649.24,692.07,732.4,-0.36,-0.44,0.00276,0.01221
"10","0610025J13Rik",0.99,0,2.92,0.99,0,6.19,1.8,0.07,0.9,0.6408,NA
"11","0610030E20Rik",199.81,281.52,208.61,287.96,244.64,234.13,242.8,0.1,0.15,0.43783,0.63567
"12","0610031O16Rik",0.99,0,0,0,0,0,0.2,-0.02,-0.77,0.85066,NA
"13","0610033M10Rik",2.97,0,0.97,0,1.18,0,0.9,-0.09,-1.77,0.51435,NA
"14","0610038B21Rik",6.92,2.51,10.72,2.98,1.18,13.41,6.3,-0.03,-0.18,0.86508,0.93367
"15","0610039K10Rik",0,1.67,0,1.99,1.18,1.03,1,0.08,1.28,0.58327,NA
"16","0610040B10Rik",50.45,30.07,58.49,44.68,48.22,55.7,47.9,0.04,0.1,0.77974,0.88753
"17","0610040F04Rik",23.74,12.53,13.65,16.88,19.99,14.44,16.9,0.01,0.04,0.93971,0.97204
"18","0610040J01Rik",332.36,353.36,317.78,196.61,182.3,257.85,273.4,-0.55,-0.66,0.00024,0.00144
"19","0610043K17Rik",2.97,3.34,1.95,0.99,0,6.19,2.6,-0.02,-0.19,0.89884,0.95055
"20","0710001A04Rik",0,0,0,0,0,0,0,0,NA,NA,NA
"21","1010001B22Rik",4.95,6.68,20.47,1.99,22.35,6.19,10.4,-0.01,-0.08,0.92764,0.96489
"22","1100001I12Rik",0,0,0,0,0,0,0,0,NA,NA,NA
"23","1110002E22Rik",203.77,170.42,266.12,8.94,19.99,16.5,114.3,-3.77,-3.83,2.64673545236212e-29,1.4977102721302e-27
"24","1110002J07Rik",19.78,37.59,15.6,18.87,12.94,22.69,21.2,-0.13,-0.42,0.43661,0.63478
"25","1110002L01Rik",325.44,317.44,307.06,313.78,288.16,371.31,320.5,0.03,0.04,0.81652,0.90817
"26","1110002O04Rik",1.98,5.01,2.92,1.99,1.18,4.13,2.9,-0.05,-0.44,0.72962,0.85803
"27","1110003F10Rik",0,0.84,0,0.99,0,0,0.3,0.01,0.19,0.96218,NA
"28","1110004F10Rik",2570.84,2440.12,2425.29,2116.01,1906.55,2130.88,2264.9,-0.24,-0.27,0.00346,0.01482
"29","1110006O24Rik",14.84,9.19,24.37,3.97,17.64,9.28,13.2,-0.16,-0.66,0.36363,0.56519
"30","1110008E08Rik",0,0,0,1.99,0,1.03,0.5,0.09,2.56,0.47414,NA
"31","1110008P14Rik",4176.26,3775.87,4392.43,956.23,958.57,1085.04,2557.4,-2.03,-2.04,2.08477618937432e-83,7.63596660635375e-81
"32","1110012L19Rik",351.15,296.56,335.33,257.18,303.45,350.68,315.7,-0.07,-0.11,0.52039,0.70437
"33","1110013H19Rik",17.8,16.71,8.77,11.92,7.06,10.31,12.1,-0.14,-0.56,0.39575,0.59718
"34","1110015O18Rik",31.65,16.71,24.37,158.87,121.14,132.02,80.8,2.4,2.51,1.31162232503846e-15,3.19499779176539e-14
"35","1110017D15Rik",29.67,91.89,56.54,142.99,124.67,146.46,98.7,0.93,1.21,5e-04,0.00278
"36","1110018N20Rik",211.68,181.28,152.07,106.25,115.26,94.89,143.6,-0.64,-0.79,0.00034,0.00199
"37","1110019B22Rik",0,0,0,0,0,0,0,0,NA,NA,NA
"38","1110019D14Rik",34.62,47.62,48.74,47.66,42.34,51.57,45.4,0.05,0.11,0.74237,0.86585
"39","1110020A21Rik",4.95,17.54,10.72,15.89,12.94,16.5,13.1,0.11,0.44,0.50692,0.69384
"40","1110025L11Rik",0,0,0,0,0,0,0,0,NA,NA,NA
"41","1110025M09Rik",18.79,12.53,10.72,15.89,10.59,11.35,13.3,-0.04,-0.15,0.81214,0.9061
"42","1110028F11Rik",0,0,0,2.98,2.35,0,0.9,0.18,3.38,0.24529,NA
"43","1110028F18Rik",0,0,0,0,0,0,0,0,NA,NA,NA
"44","1110032A03Rik",1186.01,893.85,993.32,880.76,990.32,1165.49,1018.3,-0.01,-0.02,0.90975,0.95617
"45","1110032F04Rik",452.05,514.59,529.31,136.04,124.67,134.08,315.1,-1.89,-1.92,2.03977186866087e-33,1.40723302377306e-31
"46","1110035H17Rik",4.95,0.84,0,4.96,2.35,4.13,2.9,0.11,1.01,0.48653,0.67687
"47","1110038B12Rik",109.8,153.71,141.35,125.11,144.67,117.58,132,-0.04,-0.07,0.76363,0.87896
"48","1110038F14Rik",304.66,253.12,273.92,230.37,256.4,278.48,266.2,-0.08,-0.12,0.47056,0.66337
"49","1110046J04Rik",60.34,73.51,83.83,29.79,28.23,44.35,53.3,-0.78,-1.09,0.00146,0.00707
"50","1110051M20Rik",1859.63,1637.33,1766.33,1886.64,1838.33,1816.3,1800.8,0.06,0.07,0.4328,0.63147
"51","1110057P08Rik",0,0,0,0,0,0,0,0,NA,NA,NA
"52","1110059E24Rik",428.31,439.4,462.05,553.08,548.09,614.72,507.6,0.31,0.37,0.00333,0.01435
"53","1110059G10Rik",325.44,305.75,322.66,316.76,310.5,389.87,328.5,0.07,0.09,0.54434,0.72285
"54","1110060G06Rik",2.97,0,0,0.99,0,3.09,1.2,0.03,0.49,0.83963,NA
"55","1110065P20Rik",882.34,786.08,933.86,684.15,717.45,847.81,808.6,-0.16,-0.21,0.1106,0.24767
"56","1190001M18Rik",0,0,1.95,2.98,0,0,0.8,0.03,0.64,0.83574,NA
"57","1190005I06Rik",29.67,16.71,15.6,20.85,18.82,21.66,20.6,0,-0.01,0.98517,0.9929
