"","gene","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"1","0610005C13Rik",0,0.84,0,1.99,0,0
"2","0610006L08Rik",0,0.84,0,0,0,0
"3","0610009B22Rik",338.29,395.97,398.69,374.35,456.35,469.29
"4","0610009E02Rik",11.87,25.06,12.67,13.9,19.99,21.66
"5","0610009L18Rik",24.73,33.41,25.34,43.69,38.81,41.26
"6","0610010F05Rik",1548.04,1631.48,1464.14,1385.19,1304.36,1309.88
"7","0610010K14Rik",8.9,14.2,16.57,6.95,9.41,12.38
"8","0610012D04Rik",0,0,0,0.99,0,0
"9","0610012G03Rik",896.18,735.13,897.79,524.29,649.24,692.07
"10","0610025J13Rik",0.99,0,2.92,0.99,0,6.19
"11","0610030E20Rik",199.81,281.52,208.61,287.96,244.64,234.13
"12","0610031O16Rik",0.99,0,0,0,0,0
"13","0610033M10Rik",2.97,0,0.97,0,1.18,0
"14","0610038B21Rik",6.92,2.51,10.72,2.98,1.18,13.41
"15","0610039K10Rik",0,1.67,0,1.99,1.18,1.03
"16","0610040B10Rik",50.45,30.07,58.49,44.68,48.22,55.7
"17","0610040F04Rik",23.74,12.53,13.65,16.88,19.99,14.44
"18","0610040J01Rik",332.36,353.36,317.78,196.61,182.3,257.85
"19","0610043K17Rik",2.97,3.34,1.95,0.99,0,6.19
"20","0710001A04Rik",0,0,0,0,0,0
"21","1010001B22Rik",4.95,6.68,20.47,1.99,22.35,6.19
"22","1100001I12Rik",0,0,0,0,0,0
"23","1110002E22Rik",203.77,170.42,266.12,8.94,19.99,16.5
"24","1110002J07Rik",19.78,37.59,15.6,18.87,12.94,22.69
"25","1110002L01Rik",325.44,317.44,307.06,313.78,288.16,371.31
"26","1110002O04Rik",1.98,5.01,2.92,1.99,1.18,4.13
"27","1110003F10Rik",0,0.84,0,0.99,0,0
"28","1110004F10Rik",2570.84,2440.12,2425.29,2116.01,1906.55,2130.88
"29","1110006O24Rik",14.84,9.19,24.37,3.97,17.64,9.28
"30","1110008E08Rik",0,0,0,1.99,0,1.03
"31","1110008P14Rik",4176.26,3775.87,4392.43,956.23,958.57,1085.04
"32","1110012L19Rik",351.15,296.56,335.33,257.18,303.45,350.68
"33","1110013H19Rik",17.8,16.71,8.77,11.92,7.06,10.31
"34","1110015O18Rik",31.65,16.71,24.37,158.87,121.14,132.02
"35","1110017D15Rik",29.67,91.89,56.54,142.99,124.67,146.46
"36","1110018N20Rik",211.68,181.28,152.07,106.25,115.26,94.89
"37","1110019B22Rik",0,0,0,0,0,0
"38","1110019D14Rik",34.62,47.62,48.74,47.66,42.34,51.57
"39","1110020A21Rik",4.95,17.54,10.72,15.89,12.94,16.5
"40","1110025L11Rik",0,0,0,0,0,0
"41","1110025M09Rik",18.79,12.53,10.72,15.89,10.59,11.35
"42","1110028F11Rik",0,0,0,2.98,2.35,0
"43","1110028F18Rik",0,0,0,0,0,0
"44","1110032A03Rik",1186.01,893.85,993.32,880.76,990.32,1165.49
"45","1110032F04Rik",452.05,514.59,529.31,136.04,124.67,134.08
"46","1110035H17Rik",4.95,0.84,0,4.96,2.35,4.13
"47","1110038B12Rik",109.8,153.71,141.35,125.11,144.67,117.58
"48","1110038F14Rik",304.66,253.12,273.92,230.37,256.4,278.48
"49","1110046J04Rik",60.34,73.51,83.83,29.79,28.23,44.35
"50","1110051M20Rik",1859.63,1637.33,1766.33,1886.64,1838.33,1816.3
"51","1110057P08Rik",0,0,0,0,0,0
"52","1110059E24Rik",428.31,439.4,462.05,553.08,548.09,614.72
"53","1110059G10Rik",325.44,305.75,322.66,316.76,310.5,389.87
"54","1110060G06Rik",2.97,0,0,0.99,0,3.09
"55","1110065P20Rik",882.34,786.08,933.86,684.15,717.45,847.81
"56","1190001M18Rik",0,0,1.95,2.98,0,0
"57","1190005I06Rik",29.67,16.71,15.6,20.85,18.82,21.66
"58","1190007I07Rik",95.95,119.46,113.08,111.21,118.79,101.08
