"","CRE","DSVA","XDP"
"1110008P14Rik",TRUE,TRUE,TRUE
"1700007P06Rik",TRUE,TRUE,TRUE
"1700047F07Rik",TRUE,TRUE,TRUE
"2310002F09Rik",TRUE,TRUE,FALSE
"4921539H07Rik",TRUE,TRUE,TRUE
"4933439C10Rik",TRUE,TRUE,FALSE
"Adcy1",TRUE,TRUE,TRUE
"Adra1d",TRUE,TRUE,TRUE
"Akr1c18",TRUE,TRUE,TRUE
"Aldh1a1",TRUE,TRUE,FALSE
"C77080",TRUE,TRUE,TRUE
"Catsperz",TRUE,TRUE,TRUE
"Cd34",TRUE,TRUE,TRUE
"Coro6",TRUE,TRUE,FALSE
"Cplx3",TRUE,FALSE,TRUE
"Crhr1",TRUE,TRUE,TRUE
"Crlf1",TRUE,FALSE,FALSE
"Cyp11a1",TRUE,TRUE,TRUE
"Ddit4l",TRUE,TRUE,TRUE
"Dpp4",TRUE,TRUE,TRUE
"Emx1",TRUE,TRUE,TRUE
"Epop",TRUE,TRUE,TRUE
"Fmn1",TRUE,TRUE,TRUE
"Gabra6",TRUE,FALSE,FALSE
"Gjb6",TRUE,FALSE,FALSE
"Glp2r",TRUE,TRUE,TRUE
"Gm13306",TRUE,TRUE,TRUE
"Gm15721",TRUE,TRUE,TRUE
"Gm17634",TRUE,TRUE,FALSE
"Gm26673",TRUE,TRUE,FALSE
"Gm2694",TRUE,TRUE,TRUE
"Gm27004",TRUE,TRUE,TRUE
"Gm30371",TRUE,TRUE,TRUE
"Gm30641",TRUE,TRUE,FALSE
"Gm37176",TRUE,TRUE,TRUE
"Gm37266",TRUE,TRUE,TRUE
"Gm37593",TRUE,TRUE,TRUE
"Gm37999",TRUE,TRUE,FALSE
"Gm4211",TRUE,TRUE,TRUE
"Gm43048",TRUE,FALSE,FALSE
"Gm43321",TRUE,FALSE,FALSE
"Gm44799",TRUE,FALSE,FALSE
"Gpt",TRUE,TRUE,TRUE
"Hpdl",TRUE,FALSE,FALSE
"Hpx",TRUE,FALSE,FALSE
"Hr",TRUE,TRUE,TRUE
"Hsd11b1",TRUE,TRUE,TRUE
"Kcnab3",TRUE,FALSE,FALSE
"Kcng4",TRUE,FALSE,FALSE
"Kcnk12",TRUE,FALSE,TRUE
"Kcnk4",TRUE,TRUE,TRUE
"Klk8",TRUE,TRUE,FALSE
