"","CRE","DSVA","XDP"
"1700003D09Rik",TRUE,TRUE,TRUE
"2610028E06Rik",TRUE,TRUE,TRUE
"4833415N18Rik",TRUE,FALSE,TRUE
"A730018C14Rik",TRUE,TRUE,TRUE
"A730046J19Rik",TRUE,TRUE,TRUE
"AW551984",TRUE,TRUE,TRUE
"Abcc12",TRUE,TRUE,FALSE
"Abhd11os",TRUE,TRUE,TRUE
"Actn1",TRUE,FALSE,FALSE
"Actn2",TRUE,TRUE,TRUE
"Adamts3",TRUE,TRUE,TRUE
"Adcy5",TRUE,TRUE,TRUE
"Adgrg2",TRUE,FALSE,FALSE
"Adora2a",TRUE,TRUE,TRUE
"Adra2b",TRUE,TRUE,TRUE
"Adra2c",TRUE,TRUE,TRUE
"Agtr1a",TRUE,TRUE,TRUE
"Ahi1",TRUE,TRUE,TRUE
"Ak7",TRUE,TRUE,FALSE
"Akap5",TRUE,TRUE,FALSE
"Akap9",TRUE,TRUE,TRUE
"Alcam",TRUE,TRUE,TRUE
"Amz1",TRUE,TRUE,TRUE
"Ankrd63",TRUE,TRUE,TRUE
"Ano2",TRUE,TRUE,TRUE
"Arhgap36",TRUE,TRUE,TRUE
"Arhgap6",TRUE,TRUE,TRUE
"Asic4",TRUE,TRUE,TRUE
"Avpr1a",TRUE,TRUE,TRUE
"BB031773",TRUE,TRUE,TRUE
"Baiap3",TRUE,TRUE,TRUE
"Bcl11b",TRUE,TRUE,TRUE
"C130012C08Rik",TRUE,TRUE,TRUE
"C230014O12Rik",TRUE,FALSE,FALSE
"Cacna2d3",TRUE,TRUE,FALSE
"Cacng1",TRUE,TRUE,TRUE
"Calcr",TRUE,TRUE,TRUE
"Ccdc187",TRUE,TRUE,TRUE
"Cckar",TRUE,TRUE,TRUE
"Cd4",TRUE,TRUE,TRUE
"Cd72",TRUE,TRUE,TRUE
"Cdca7",TRUE,TRUE,FALSE
"Cdh13",TRUE,TRUE,FALSE
"Cdh4",TRUE,TRUE,TRUE
"Cftr",TRUE,TRUE,TRUE
"Chat",TRUE,TRUE,TRUE
"Clec12a",TRUE,TRUE,TRUE
"Clic6",TRUE,TRUE,TRUE
"Clspn",TRUE,TRUE,TRUE
"Cntnap3",TRUE,TRUE,FALSE
"Col25a1",TRUE,TRUE,TRUE
"Cpne5",TRUE,TRUE,TRUE
"Crabp1",TRUE,TRUE,TRUE
"Crym",TRUE,FALSE,FALSE
"Csmd3",TRUE,FALSE,TRUE
"Cyld",TRUE,TRUE,TRUE
"D430036J16Rik",TRUE,TRUE,TRUE
"D7Ertd443e",TRUE,TRUE,TRUE
"Dach1",TRUE,TRUE,TRUE
"Dchs2",TRUE,TRUE,TRUE
"Dclk3",TRUE,TRUE,FALSE
"Ddx11",TRUE,FALSE,FALSE
"Dgkb",TRUE,TRUE,TRUE
"Dgkk",TRUE,TRUE,TRUE
"Dio3",TRUE,TRUE,FALSE
"Dlk1",TRUE,TRUE,TRUE
"Dlx2",TRUE,TRUE,TRUE
"Dlx5",TRUE,TRUE,TRUE
"Dlx6",TRUE,TRUE,TRUE
"Dlx6os1",TRUE,TRUE,TRUE
"Drd1",TRUE,TRUE,TRUE
"Drd2",TRUE,TRUE,TRUE
"Drd3",TRUE,TRUE,TRUE
"Dsg1c",TRUE,TRUE,TRUE
"E130008D07Rik",TRUE,TRUE,TRUE
"Ecel1",TRUE,TRUE,TRUE
"Edar",TRUE,FALSE,FALSE
"Entpd3",TRUE,TRUE,TRUE
"Epor",TRUE,TRUE,TRUE
"Erich3",TRUE,TRUE,TRUE
"Esyt3",TRUE,TRUE,TRUE
"Fancb",TRUE,FALSE,TRUE
"Fgf3",TRUE,TRUE,TRUE
"Fign",TRUE,TRUE,TRUE
"Filip1",TRUE,TRUE,TRUE
"Fndc9",TRUE,TRUE,TRUE
"Foxp2",TRUE,TRUE,TRUE
"Fras1",TRUE,TRUE,TRUE
"Gabrq",TRUE,TRUE,TRUE
"Gad2",TRUE,TRUE,TRUE
"Galr1",TRUE,TRUE,TRUE
"Gbx2",TRUE,TRUE,TRUE
"Gcnt2",TRUE,TRUE,TRUE
"Gdnf",TRUE,TRUE,TRUE
"Gipc2",TRUE,TRUE,TRUE
"Glp1r",TRUE,TRUE,TRUE
"Gm10710",TRUE,TRUE,TRUE
"Gm10754",TRUE,TRUE,TRUE
"Gm13112",TRUE,TRUE,TRUE
"Gm136",TRUE,TRUE,TRUE
"Gm31251",TRUE,TRUE,TRUE
"Gm33651",TRUE,TRUE,TRUE
"Gm34081",TRUE,TRUE,TRUE
"Gm35281",TRUE,TRUE,TRUE
"Gm36737",TRUE,TRUE,TRUE
"Gm38575",TRUE,TRUE,TRUE
"Gm39043",TRUE,TRUE,TRUE
"Gm39244",TRUE,TRUE,TRUE
"Gm42858",TRUE,FALSE,FALSE
"Gm44593",TRUE,TRUE,TRUE
"Gm45645",TRUE,TRUE,TRUE
"Gm50370",TRUE,FALSE,FALSE
"Gm7244",TRUE,TRUE,TRUE
"Gnal",TRUE,TRUE,TRUE
"Gng7",TRUE,TRUE,TRUE
"Gpc3",TRUE,TRUE,TRUE
"Gpr101",TRUE,TRUE,TRUE
"Gpr149",TRUE,TRUE,TRUE
"Gpr52",TRUE,TRUE,TRUE
"Gpr6",TRUE,TRUE,TRUE
"Gpr88",TRUE,TRUE,TRUE
"Grb10",TRUE,TRUE,TRUE
"Grem2",TRUE,TRUE,FALSE
"Grm5",TRUE,TRUE,FALSE
"Gsx2",TRUE,TRUE,TRUE
"Gucy1a1",TRUE,TRUE,FALSE
"Hap1",TRUE,TRUE,TRUE
"Hcn4",TRUE,TRUE,TRUE
"Hpcal1",TRUE,TRUE,FALSE
"Hs6st2",TRUE,TRUE,FALSE
"Htr1b",TRUE,TRUE,TRUE
"Htr1d",TRUE,TRUE,TRUE
"Htr2c",TRUE,TRUE,TRUE
"Il2rb",TRUE,TRUE,TRUE
"Insyn2b",TRUE,TRUE,TRUE
"Iqub",TRUE,TRUE,FALSE
"Irs4",TRUE,TRUE,TRUE
"Jsrp1",TRUE,TRUE,TRUE
"Kcna5",TRUE,TRUE,TRUE
"Kcnab1",TRUE,TRUE,TRUE
"Kcnj2",TRUE,TRUE,TRUE
"Kif27",TRUE,TRUE,TRUE
"Klhl13",TRUE,TRUE,TRUE
"Krt9",TRUE,TRUE,TRUE
"Lbhd2",TRUE,TRUE,TRUE
"Lhx8",TRUE,TRUE,TRUE
"Lmo7",TRUE,FALSE,FALSE
"Magel2",TRUE,TRUE,TRUE
"Mc3r",TRUE,TRUE,TRUE
"Mei4",TRUE,TRUE,TRUE
"Meis1",TRUE,TRUE,TRUE
"Meis2",TRUE,TRUE,TRUE
"Mhrt",TRUE,TRUE,TRUE
"Mme",TRUE,TRUE,TRUE
"Msantd1",TRUE,FALSE,FALSE
"Musk",TRUE,TRUE,FALSE
"Myo3b",TRUE,TRUE,TRUE
"Necab2",TRUE,TRUE,TRUE
"Nexn",TRUE,TRUE,TRUE
"Ngfr",TRUE,TRUE,TRUE
"Nhs",TRUE,TRUE,TRUE
"Nkx2-1",TRUE,TRUE,TRUE
"Nlrp10",TRUE,TRUE,FALSE
"Nmbr",TRUE,FALSE,TRUE
"Nnat",TRUE,TRUE,TRUE
"Nos1",TRUE,TRUE,TRUE
"Nrsn2",TRUE,TRUE,TRUE
"Nt5e",TRUE,FALSE,TRUE
"Ntrk1",TRUE,TRUE,TRUE
"Olfr1393",TRUE,TRUE,TRUE
"Otof",TRUE,TRUE,TRUE
"Otx2",TRUE,TRUE,FALSE
"Oxtr",TRUE,TRUE,FALSE
"P2ry1",TRUE,TRUE,TRUE
"Pbx3",TRUE,TRUE,TRUE
"Pcp4l1",TRUE,TRUE,TRUE
"Pcsk9",TRUE,TRUE,TRUE
"Pde10a",TRUE,TRUE,TRUE
"Pde1b",TRUE,TRUE,TRUE
"Pde1c",TRUE,TRUE,TRUE
"Pde7b",TRUE,TRUE,TRUE
"Pdyn",TRUE,TRUE,FALSE
"Pdzd3",TRUE,TRUE,TRUE
"Peg10",TRUE,TRUE,TRUE
"Penk",TRUE,TRUE,TRUE
"Pgr15l",TRUE,TRUE,TRUE
"Phex",TRUE,TRUE,TRUE
"Pi16",TRUE,TRUE,TRUE
"Plppr1",TRUE,TRUE,TRUE
"Pnmt",TRUE,FALSE,TRUE
"Pnp2",TRUE,TRUE,TRUE
"Pou3f4",TRUE,TRUE,TRUE
"Ppp1r1b",TRUE,TRUE,TRUE
"Prdm12",TRUE,TRUE,TRUE
"Prima1",TRUE,TRUE,TRUE
"Prkar2b",TRUE,TRUE,FALSE
"Prkch",TRUE,TRUE,TRUE
"Prlr",TRUE,TRUE,TRUE
"Prok2",TRUE,TRUE,TRUE
"Prokr2",TRUE,TRUE,TRUE
"Prss56",TRUE,FALSE,FALSE
"Ptpn5",TRUE,TRUE,TRUE
"Ptpn7",TRUE,TRUE,TRUE
"Qrfprl",TRUE,TRUE,TRUE
"Rapsn",TRUE,TRUE,TRUE
"Rarb",TRUE,TRUE,TRUE
"Rasd2",TRUE,TRUE,TRUE
"Rasgrp2",TRUE,TRUE,TRUE
"Rec8",TRUE,TRUE,TRUE
"Rem2",TRUE,TRUE,TRUE
"Retnla",TRUE,TRUE,TRUE
"Rftn1",TRUE,TRUE,TRUE
"Rgs2",TRUE,TRUE,TRUE
"Rgs9",TRUE,TRUE,TRUE
"Rhbdl3",TRUE,TRUE,TRUE
"Ric8b",TRUE,TRUE,TRUE
"Rps6ka5",TRUE,TRUE,TRUE
"Rxrg",TRUE,TRUE,TRUE
"Scn4b",TRUE,TRUE,TRUE
"Scn5a",TRUE,TRUE,TRUE
"Scn9a",TRUE,TRUE,TRUE
"Scube3",TRUE,TRUE,TRUE
"Serpina9",TRUE,TRUE,TRUE
"Sez6",TRUE,TRUE,FALSE
"Sfta3-ps",TRUE,TRUE,TRUE
"Sh3rf2",TRUE,TRUE,TRUE
"Six3",TRUE,TRUE,TRUE
"Six3os1",TRUE,TRUE,TRUE
"Slc10a4",TRUE,TRUE,TRUE
"Slc17a8",TRUE,FALSE,TRUE
"Slc18a3",TRUE,TRUE,TRUE
"Slc22a3",TRUE,TRUE,TRUE
"Slc35d3",TRUE,TRUE,TRUE
"Slc35f1",TRUE,TRUE,FALSE
"Slc37a1",TRUE,TRUE,FALSE
"Slc5a7",TRUE,TRUE,TRUE
"Slc6a3",TRUE,TRUE,TRUE
"Slitrk6",TRUE,TRUE,TRUE
"Smarca1",TRUE,FALSE,FALSE
"Smpd3",TRUE,TRUE,TRUE
"Smpdl3b",TRUE,TRUE,TRUE
"Sox1ot",TRUE,TRUE,TRUE
"Sp8",TRUE,TRUE,TRUE
"Sp9",TRUE,TRUE,TRUE
"Spint1",TRUE,TRUE,TRUE
"Spock3",TRUE,FALSE,TRUE
"Srgap1",TRUE,TRUE,TRUE
"St8sia2",TRUE,TRUE,FALSE
"St8sia3",TRUE,TRUE,FALSE
"Stk32a",TRUE,TRUE,TRUE
"Stk33",TRUE,TRUE,TRUE
"Strip2",TRUE,TRUE,TRUE
"Strit1",TRUE,TRUE,FALSE
"Sulf1",TRUE,TRUE,TRUE
"Sv2c",TRUE,TRUE,TRUE
"Syndig1l",TRUE,TRUE,TRUE
